Prot,Label
SP1,1
STAT3,0
AKT1,0
PIK3CA,0
FOXO1,0
NOTCH1,2
ITCH,0
CXCR4,0
IL6R,2
IL6,0
STAT6,1
IRF4,0
ICOS,2
ICOSLG,2
IL21,2
IL21R,2
BCL6,0
REL,1
ZBTB17,1
BCL11A,1
NR4A1,1
IRF1,1
NFKB1,0
ZNF557,1
ATF4,1
BATF,0
MAF,0
IL2,2
IL2RA,0
LEF1,0
EGR1,1
ETS1,1
SATB1,1
JUN,1
JUNB,1
JUND,1
RELA,1
AHR,1
HIF1A,1
IFNG,0
IFNGR2,2
IFNGR1,2
NFATC2,1
STAT5B,2
STAT5A,0
PPARG,0
SPIB,1
DNMT1,1
STAT1,0
ATF3,1
NR3C1,1
ZNF281,1
