Prot_1,Prot_2
RNF11,ZNF180
NID2,ETV6
ZNF707,ZNF783
ZC3H10,FOSB
ZC3H10,NFYA
ZC3H10,POU2F1
ZC3H15,JUN
RNF111,CREB1
FOXQ1,ZNF143
FOXQ1,ZBTB33
FOXQ1,SATB1
DHX9,RELA
DHX9,YBX1
DHX9,JUN
TCOF1,JUN
NSRP1,YY1
H0YIV8,HIF1A
SP1,HDAC1
SP1,NFYC
SP1,BTRC
SP1,YY1
SP1,HDAC4
SP1,SMAD4
SP1,JUN
SP1,GAK
SP1,SMAD2
SP1,SMAD3
SP1,NR2B1
SP1,VHL
SP1,NFYA
SP1,HDAC2
SP1,ABL1
SP1,CRK
SP1,SMARCA4
SP1,RARA
SP1,MYCN
SP1,KLF10
SP1,CCNA2
SP1,ZBTB16
SP1,HCFC1
SP1,CTCFL
SP1,TFAP2A
SP1,KLF6
SP1,EGR1
SP1,FYN
SP1,RB1
SP1,SUMO1
SP1,B3KNW7
SP1,KLF4
SP1,PGR
SP1,PML
SP1,NFKB1
SP1,RELA
SP1,EPAS1
SP1,ATF7IP
SP1,PSMC5
SP1,BRCA1
SP1,SRC
SP1,STAT3
SP1,MAPK3
SP1,CEBPB
SP1,HOXC11
SP1,MECP2
SP1,SP3
SP1,PRKCD
SP1,HMGA1
SP1,NR2F1
SP1,PPARG
SP1,AR
SP1,HIF1A
SP1,RXRA
SP1,HSP90AA1
SP1,GATA6
SP1,NR2A1
SP1,GATA4
SP1,EP300
SP1,MYC
SP1,CTNNB1
SP1,CCNB1
SP1,ESR2
SP1,NCK1
SP1,E2F1
SP1,ESR1
SP1,GRB2
SP1,SUB1
SP1,HNF4A
SP1,TLX3
SP1,SREBF2
SP1,CDK1
SP1,HTT
SP1,TP53
SP1,UBC
SP1,MAPK1
SP1,RNF4
SP1,CREBBP
SP1,POU2F1
SP3,HDAC1
SP3,LIN54
SP3,TP53
SP3,ESR1
SP3,ADAMTS12
SP3,SUMO2
SP3,PHF21A
SP3,TMEM25
SP3,ITLN1
SP3,POGZ
SP3,CIB3
SP3,HTT
SP3,SGCZ
SP3,HDAC2
SP3,SNRPB
SP3,EP300
SP3,PTPRK
SP3,B4GALT4
SP3,SPANXN2
SP3,STK19
FBL,RELA
FBL,CTCF
FBL,ZNF281
FBL,JUN
GTSE1,JUN
GTSE1,FOXJ2
SPPL2B,GTF2B
ATP2A1,JUN
ATP2A2,JUN
NOP2,JUN
ITGA4,YBX1
GRN,ELK1
GRN,ZNF180
GRN,YY1
GRN,KLF3
BCL2A1,REL
HLF,BATF
SERPING1,NR4A1
SMAD9,ZNF143
SMAD9,FLI1
SMAD9,ZNF484
SMAD9,ZNF557
SMAD4,RELA
SMAD4,JUN
SMAD4,JUNB
SMAD4,FOXO3
SMAD7,LEF1
SMAD1,ZNF76
SMAD2,LEF1
SMAD2,JUN
SMAD2,YY1
SMAD2,TGIF1
SMAD3,FLI1
SMAD3,RUNX1
SMAD3,NR3C1
SMAD3,EGR1
SMAD3,JUN
SMAD3,FOS
SMAD3,YY1
SMAD3,HIF1A
SMAD3,LEF1
SMAD3,RELA
SMAD3,FOXO3
SMAD3,TGIF1
SMAD3,NR4A1
SMAD3,ATF3
PLRG1,JUN
CKS1B,REL
CKS1B,IKZF1
CKS1B,IKZF3
CKS1B,TCF12
CKS1B,PAX5
AMY1C,GTF2B
SPTLC1,JUN
SPTLC1,ELK1
TCEA2,IKZF1
ATP1A1,JUN
H3C15|H3C14|H3C13,ELK4
RBMXL1,JUN
FRG1,JUN
MIEN1,REL
SP2,QRICH1
SP2,FHL2
SP2,ZDHHC17
SP2,UBQLN1
SP2,BANP
SP2,PRKCA
SP2,YWHAG
SP2,HLA-A
SP2,LMO3
SP2,FGFR3
SP2,MCM7
SP2,NFYC
SP2,CINP
SP2,GSN
SP2,SETDB1
SP2,B3KM38
SP2,NRF1
SP4,FOXP2
SP4,LMO3
SP4,AP1M1
SP4,MCRS1
SP4,LOC730441
SP4,ADAM15
SP4,ATXN7L1
SP4,PELI2
SP4,SERF2
SP4,CIB3
SP4,VEZF1
SP4,HYPK
SP4,VIRMA
SP4,COL8A1
SP4,NRF1
SP4,SPANXN3
SP4,PNKP
SP4,A0A024R5Q1
SP4,LNX1
SP4,NFYC
SP4,PRR20A
