Prot_1,Prot_2
PTPN14,PLK1
PTPN14,SRSF12
PTPN14,DCLK1
PTPN14,RTKN
PTPN14,COPS4
PTPN14,SAV1
PTPN14,LRFN1
PTPN14,ZBTB21
PTPN14,STXBP4
PTPN14,MAST3
PTPN14,MOB1A
PTPN14,STIP1
PTPN14,ACAD11
PTPN14,MOB1B
PTPN14,AHCYL1
PTPN14,CGN
PTPN14,WWC2
PTPN14,WWC1
PTPN14,PARD6B
PTPN14,PPM1H
PTPN14,HSPD1
PTPN14,YWHAH
PTPN14,VIRMA
PTPN14,TRIM66
PTPN14,NF1
PTPN14,SIPA1L1
PTPN14,KSR1
PTPN14,MYC
PTPN14,YAP1
PTPN14,YWHAG
PTPN14,CUL2
PTPN14,YWHAE
PTPN14,PDLIM7
PTPN14,MAGI1
PTPN14,SYDE1
PTPN14,YWHAB
PTPN14,ZNF638
PTPN14,DENND1A
PTPN14,SRGAP2
PTPN14,TESK2
PTPN14,CBY1
PTPN14,LATS1
PTPN14,INPP5E
PTPN14,EIF4E2
PTPN14,LRR1
PTPN14,LIMA1
PTPN14,POLE
PTPN14,KIF13B
PTPN14,STK3
PTPN14,UBC
PTPN14,TRIP6
PTPN14,SH3PXD2A
PTPN14,USP47
PTPN14,AMOT
LYAR,PRR11
LYAR,CTTN
Q86SZ9,VIM
HABP4,VIM
ZSCAN1,ZNF496
SRSF5,TNK2
CHD1L,APLF
SRSF2,RPGRIP1L
MZB1,TSG101
MZB1,CASP2
MZB1,MAPK6
MRC2,PALB2
ZNF581,TMCC2
ZNF587,TMCC2
ZNF587,TXK
LPAR6,CAV1
MYO1C,FBXO30
CTPS1,RPGRIP1L
PGBD1,ZNF496
KRTAP19-2,SLC12A4
FAM160B1,TNFSF13B
PNPT1,ADARB1
SRC,TNK2
SRC,CAV1
LGALS9,SLC12A4
LGALS8,SLC12A4
LGALS8,TMEM237
LGALS3,SLC12A4
NMU,B3GALNT1
MYO19,BMP2K
MYO19,CTTN
ASAP1,CTTN
PLAUR,EOGT
PLAUR,SPCS2
PLAUR,MGAT4B
PLAUR,EEF1A1
PLAUR,SUMO2
PLAUR,SPRED1
PLAUR,PCSK5
PLAUR,KIF14
PLAUR,POGLUT1
PLAUR,DHFR2
PLAUR,NOCT
PLAUR,GALNT18
PLAUR,MANEA
PLAUR,PPOX
PLAUR,TYK2
PLAUR,LAMB2
PLAUR,XRCC3
PLAUR,GSN
PLAUR,PRORP
PLAUR,TRMT11
PLAUR,NEK4
PLAUR,DNA2
PLAUR,FASTKD3
PLAUR,DDX11
PLAUR,PLAU
PLAUR,HUS1
PLAUR,TUBA1A
PLAUR,UBE3A
PLAUR,CERCAM
PLAUR,TAZ
PLAUR,TATDN2
PLAUR,MELK
PLAUR,LARGE1
PLAUR,CDYL
PLAUR,P3H3
PLAUR,CNTNAP3B
PLAUR,JAK1
PLAUR,LYN
PLAUR,SURF2
PLAUR,PCYOX1L
PLAUR,DHRS4
PLAUR,NDST1
PLAUR,EXT1
PLAUR,ST3GAL4
PLAUR,PKN1
PLAUR,NAGLU
PLAUR,LARGE2
PLAUR,GALNS
PLAUR,TUBB3
PLAUR,MAN2A1
PLAUR,MAN2A2
PLAUR,NR2F2
PLAUR,FUT11
PLAUR,GCLM
PLAUR,ADCK1
PLAUR,MGAT5
PLAUR,RPUSD3
PLAUR,DNAJB9
PLAUR,CHSY1
PLAUR,MAN1A1
PLAUR,MCM9
PLAUR,LOXL2
PLAUR,PMP22
