Prot,Label
AKT1,0
PIK3CA,2
FOXO1,0
NOTCH1,2
ITCH,0
CXCR4,2
IL6R,2
IL6,2
ICOS,2
ICOSLG,2
IL21,2
IL21R,2
BCL6,2
IRF4,2
NFKB1,0
IL2,2
IL2RA,2
BATF,0
IFNG,2
IFNGR2,0
IFNGR1,0
STAT5B,2
STAT5A,0
PPARG,0
STAT1,0
STAT3,0
