,Genes
397,GIMAP5
398,SMARCA2
399,ZFPM2
400,LRP12
401,RAB6A
402,TOP1
403,STN1
404,SH3PXD2A
405,SNX25P1
406,GEM
407,CLDND1
408,RGCC
409,CHSY1
410,DST
411,NOD1
412,SKAP1
413,NRP1
414,PSMD8P1
415,PCNX2
416,NCK2
417,MYH9
418,EVL
419,CHD9
420,NKX6-3
421,ANK1
422,CA11
423,MAMSTR
424,PHACTR2
425,INPP5A
426,STKLD1
427,CTNNB1
428,COG2
429,SEPTIN9
430,NCOR1
431,IFFO2
432,GGTA2P
433,EME2
434,POP4
435,DYNC1I2
436,RAP1B
437,ITPKB
438,PRNP
439,CAMK1
440,ARPC4
441,ENO1
442,ARHGAP25
443,CYP2R1
444,FSCN1
445,POLI
446,ARHGAP35
447,TEAD1
448,ARNTL
449,POLR1D
450,LNX2
451,ZKSCAN1
452,KIF20B
453,CENPV
454,B4GALT5
455,STRADBP1
456,PODNL1
457,SLC17A5
458,EEF1A1
459,SREBF1
460,FCMR
461,IL10
462,RAB8A
463,GTF3C5
464,TUBB6
465,CRKL
466,SUSD4
467,TP53BP2
468,GAB2
469,CTLA4
470,CD28
471,PPP2CA
472,CRTC3
473,TMTC4
474,TSPAN13
475,MAP3K7CL
476,SSH2
477,EFCAB5
478,SLC12A9
479,POP7
480,YBX3
481,MAGOHB
482,RPN2
483,TARDBP
484,DFFA
485,GHITM
486,GPX1
487,PAFAH1B2
488,CASP8AP2
489,ZNF212
490,ZNF282
491,BCL11B
492,MED4
493,ITM2B
494,ZFYVE26
495,FGF12
496,TNIP1
497,GPX3
498,DLEU1
499,THNSL2
500,UGCG
501,COG6
502,TRIM60P3Y
503,NINJ2
504,KCNJ15
505,PGAM5P1
506,SGK3
507,TRIM44
508,BZW2
509,SH2D1A
510,NDUFB1
511,TBXAS1
512,NCALD
513,TBCEL
514,ZFAND5
515,ANXA1
516,GNA12
517,SH3BGRL3
518,VAPB
519,SMARCA4
520,PLCG1
521,RAPGEF1
522,DEXI
523,PRKD3
524,TC2N
525,ORAI2
526,ELMO1
527,SUPT4H1
528,CXCR5
529,PTRH2
530,SLC35E4
531,DUSP18
532,PRKACB
533,SLC14A1
534,UPF2
535,CPPED1
536,PRMT3
537,LMNTD1
538,MTMR2
539,RABGAP1L
540,MCM3
541,CERT1
542,PRPSAP2
543,DNAJB12
544,RC3H1
545,NAP1L4P1
546,PSMD7P1
547,TTPAL
548,SERINC3
549,HBP1
550,ATL2
551,MGAT5
552,SLC22A15
553,PDLIM1P1
554,EML4
555,DPM1
556,SP100
557,ARL5A
558,FBXO21
559,FBXW8
560,PUF60
561,PLEC
562,CAB39
563,SLC36A4
564,FASLG
565,C5ORF15
566,KCNA2
567,LPIN2
568,UBXN11
569,NBEAL2
570,IKBKB
571,CDK20
572,LY75-CD302
573,PLEKHF1
574,C19ORF12
575,METAP2
576,FGD6
577,SLC16A11
578,MSI2
579,ERFL
580,MIER1
581,AFTPH
582,FASTKD3
583,EIF1AXP2
584,ZPBP2
585,RAD54L2
586,BORCS5
587,CRPPA
588,RAB22A
589,TMSB4X
590,DIP2B
591,AKIRIN2
