,index,gene,S1,S2,S3,S4,logFC(GC/EPGC)
131,5469,CCDC81,0.0,0.25,0.0,3.9875,3.995484518877507
132,3120,GPSM2,0.6025,3.985,0.3225,0.25,3.994579724215747
133,3767,LRP3,0.0,0.25,0.0,3.9575,3.9845893503624565
134,5337,ZNF182,4.5,19.75,0.75,1.25,3.9818526532897405
135,1907,CAV1,1.25,1.25,2.75,19.75,3.9818526532897405
136,1701,RPGRIP1L,4.2375,8.325,0.2525,0.535,3.959839475557477
137,920,MEF2C,13.5,11.5,16.25,0.75,3.9385994553358565
138,9805,EME2,0.0,0.5,0.285,7.585,3.9231491804723087
139,7645,KSR2,0.0,1.75,3.75,26.5,3.920565532505595
140,7408,APLF,2.75,0.25,3.5,3.75,3.9068905956085187
141,6372,ZNF496,17.25,0.25,0.625,3.75,3.9068905956085187
142,9063,FAM174B,0.5,3.75,5.5,0.25,3.9068905956085187
143,4282,EDAR,8.75,11.25,0.0,0.75,3.9068905956085187
144,9994,SHISA4,0.0,0.25,0.5,3.75,3.9068905956085187
145,4063,FKBP11,11.25,7.5,4.75,0.5,3.9068905956085187
146,10979,RPSAP58,2.1775,0.41,2.7725,6.03,3.8784621872820013
147,2001,TESK1,3.185,9.75,5.73,0.6675,3.868562476949419
148,7745,MBOAT1,3.25,2.25,14.75,32.75,3.863498000095138
149,6467,CLDN1,18.5,2.25,13.25,32.7475,3.8633878664990777
150,8207,LRRC37A3,2.4425,4.155,3.1225,0.2875,3.8532146158259692
151,5667,PDE3B,45.5,7.185,14.28,0.5,3.8449881566826116
152,10343,HERC2P9,0.5025,7.1575,4.0,0.5,3.839455765224628
153,8034,C3orf33,5.8925,5.1525,0.79,0.36,3.839203788096944
154,9184,BACE1,0.48,3.5,0.5,0.25,3.807354922057604
155,11349,ZBTB22,1.75,3.5,2.25,0.25,3.807354922057604
156,1583,SLC25A14,3.25,0.25,4.0,3.5,3.807354922057604
157,7889,PTPRM,1.25,3.5,4.25,0.25,3.807354922057604
158,3067,AKAP1,2.5,7.0,2.0,0.5,3.807354922057604
159,4255,ABCB10,8.7575,3.5,11.0,0.25,3.807354922057604
160,4049,GSTM3,9.805,3.425,1.2675,0.25,3.776103988073164
161,1474,CD40,6.0,10.25,3.0,0.75,3.7725895038969277
162,7464,GPR25,0.0,10.25,15.25,0.75,3.7725895038969277
163,9958,ZNF830,9.25,23.75,6.5,1.75,3.7625006862733437
164,3242,LPGAT1,1.7525,6.75,6.235,0.5,3.7548875021634687
165,4768,EFCAB11,1.0,3.475,0.805,0.26,3.7404294494697776
166,4455,TUBB2A,13.9675,20.1675,6.4925,1.53,3.7204286979013776
167,266,VIM,1055.2075,473.99,84.0,35.9925,3.7190884033103297
168,5678,SUV39H2,4.25,0.25,0.5,3.2875,3.71699089440494
169,4368,IL10,0.5025,19.965,18.6825,1.525,3.7105919241827996
170,11776,FDXACB1,1.15,9.785,4.135,0.75,3.705609350130923
171,7422,TAPT1,1.985,0.75,0.5,0.0575,3.705256734438868
172,11556,LINC00880,4.0,1.015,2.0,13.2325,3.704534021449699
173,7958,RGMB,5.395,6.51,8.9225,0.5,3.702657543390911
174,3964,CDK8,1.25,3.25,0.25,0.25,3.700439718141092
175,3976,TMCC2,0.0,0.5,0.25,6.5,3.700439718141092
176,3300,F13A1,0.5,0.75,0.0,9.75,3.700439718141092
177,2230,PANX1,4.75,3.25,1.0,0.25,3.700439718141092
178,2987,AVPI1,2.25,6.5,2.25,0.5,3.700439718141092
179,12639,HIST1H4E,2.0,9.75,3.0,0.75,3.700439718141092
180,9227,C17orf58,0.25,0.25,0.0,3.25,3.700439718141092
181,8941,CCSER1,0.0,3.25,0.0,0.25,3.700439718141092
182,1383,KCTD17,3.0,0.25,1.75,3.25,3.700439718141092
183,7431,WNT10B,0.0,3.25,0.0,0.25,3.700439718141092
