Prot,Label
AKT1,0
PIK3CA,0
FOXO1,0
NOTCH1,0
PTPN11,1
STAT1,0
PDCD1,0
CUX1,1
FOXP1,0
ITCH,0
CXCR4,2
IL6R,2
IL6,2
ICOS,2
ICOSLG,2
IL21,2
IL21R,2
BCL6,0
IRF4,0
NFKB1,0
PDCD1LG2,1
CD274,1
MYL12B,1
SPTB,1
UBE2F,1
IL2,0
IL2RA,0
IL17A,1
BATF,0
IFNG,2
IFNGR2,0
IFNGR1,0
STAT5B,2
STAT5A,0
PPARG,0
CIITA,1
STAT4,1
ETV7,1
BPIFB3,1
PARP9,1
GBP1,1
STAT3,0
