Prot_1,Prot_2
PTPN11,PSMA4
PTPN11,KDR
PTPN11,PDCD1
PTPN11,SRC
PTPN11,LEPR
PTPN11,LGALS9
PTPN11,VCAM1
PTPN11,LGALS3
PTPN11,GAB1
PTPN11,STAU1
PTPN11,SOS1
PTPN11,IRS1
PTPN11,MET
PTPN11,STAT5A
PTPN11,PSMB4
PTPN11,SLAMF1
PTPN11,PTK2
PTPN11,EGFR
PTPN11,CD244
PTPN11,INSR
PTPN11,ERBB4
PTPN11,FYN
PTPN11,RPIA
PTPN11,VIRMA
PTPN11,PSMC3
PTPN11,PSMC6
PTPN11,CCT6B
PTPN11,FCGR2A
PTPN11,AR
PTPN11,TCEAL1
PTPN11,DCAF7
PTPN11,FSD1
MAGEL2,SUFU
LYAR,MAPKAPK2
MRPL22,MTA3
MRPL22,MBD2
CHD1L,FOXP1
RNF138,FXN
HOXA2,NDE1
TSHZ2,COG3
FOXS1,POU2F1
FOXS1,RRAS2
CHST8,SELENON
LPAR6,EXOC2
LPAR6,TTI1
MYDGF,NCALD
MYO1D,ACTC1
MYO1D,VSIG4
MYO1D,BIRC3
MYO1D,ILK
MYO1D,PEX19
MYO1D,RIPK3
MYO1D,RIPK2
MYO1D,IKBKG
MYO1D,UBASH3B
MYO1D,LRRK2
MYO1D,MAP3K3
MYO1D,PPP4C
MYO1D,MAP3K1
MYO1D,PELO
MYO1D,VIRMA
MYO1D,CUL1
MYO1D,DAPK1
MYO1D,SHC1
MYO1D,TSC22D1
MYO1D,CIAO1
MYO1D,CHUK
MYO1D,SH3BGRL
MYO1D,RASA1
MYO1D,STAU1
MYO1D,ESR2
MYO1D,PRKD1
MYO1D,TBC1D9B
MYO1D,UBB
MYO1D,UBC
MYO1D,CFTR
MYO1D,KIF20A
MYO1C,TJP2
MYO1B,DAPK1
CHMP3,STAMBP
CHMP5,STAMBP
SIAE,SELENON
KRTAP19-6,TSPYL6
KRTAP19-7,EVX2
KRTAP19-5,EVX2
KRTAP19-5,TSPYL6
SRC,PAG1
SRC,SELENON
SRC,STAT1
SRC,NR3C2
TSSK3,CENPN
SRI,TCF12
LGALS9,C2CD5
LGALS1,ICAM2
LGALS4,RRAS2
KRTAP11-1,NBL1
MYO19,ZBTB20
MYO19,TJP2
ATG101,FOXO3
PLAUR,CDYL
LRRC25,CD72
LRRC25,ACD
LRRC25,CLDN19
LRRC25,TTMP
LRRC25,PKMYT1
LRRC25,TMEM120A
LRRC25,SPNS3
LRRC25,ANKRD46
LRRC25,LHFPL5
LRRC25,GPRC5D
LRRC25,PNLIPRP1
LRRC25,DDX58
LRRC25,CLN6
LRRC25,BMP10
LRRC25,FAM3C
LRRC25,TMEM201
LRRC25,FATE1
LRRC25,CLEC1A
LRRC25,TRAF3IP3
LRRC25,APOL3
LRRC25,ATP6V0C
LRRC25,BRICD5
LRRC25,SMCO4
LRRC25,FPR2
LRRC25,DNAJC30
LRRC25,CNIH3
LRRC25,OPRM1
LRRC25,TNF
LRRC25,TSPAN4
LRRC25,SEC61G
LRRC25,SEC22A
LRRC25,VAMP5
LRRC25,CXCL9
LRRC25,CLRN2
LRRC25,AGPAT4
LRRC25,EDDM3B
LRRC25,MAL
LRRC25,DEFB121
LRRC25,YIPF6
ALOX5,MAPKAPK2
MID1IP1,SUFU
PIGK,PCNA
PIGK,ALPP
PIGK,PRSS50
PIGK,B3GNT3
PIGK,LYPD3
PIGK,TCTN3
PIGK,ESR1
PIGK,PIGS
PIGK,PIGT
PIGK,PIGU
PIGK,UBC
PIGK,KIF20A
