,Genes
0,GPR183
1,MAF
2,IL6R
3,CD28
4,ITCH
5,ID3
6,IFNGR2
7,IL2RA
8,CCR7
9,LEF1
10,TCF7
11,FOXP1
12,S1PR1
13,STAT1
14,STAT3
15,IL2
16,IRF4
17,CXCR5
18,KLF2
19,PDCD1
20,IL6
21,BCL6
22,IFNG
23,STAT5A
24,NFKB1
25,PRDM1
26,SELPLG
27,IFNGR1
28,FOXO1
29,ICOSLG
30,ICOS
31,STAT5B
32,IL7R
33,IL21R
34,BATF
35,PPARG
36,AKT1
37,IL21
38,PIK3CA
39,ASCL2
40,NOTCH1
41,CXCR4
