,Genes
0,GPR183
1,MAF
2,MXD1
3,IL6R
4,CD28
5,ITCH
6,BTLA
7,STAT4
8,IL2RA
9,IL12A
10,CCR7
11,LEF1
12,TCF7
13,FOXP1
14,S1PR1
15,RC3H1
16,PTEN
17,STAT3
18,BCL3
19,IL2
20,GATA3
21,IRF4
22,IL4
23,IL12RB1
24,LTB
25,CXCR5
26,KLF2
27,IL2RB
28,PDCD1
29,BCL6
30,IFNG
31,PRDM1
32,CD40LG
33,SH2D1A
34,TNFRSF4
35,CXCL13
36,STAT5A
37,IL7
38,SELPLG
39,FOXO1
40,SOCS3
41,SELL
42,ICOS
43,STAT5B
44,IL7R
45,MTA3
46,HIF1A
47,BATF
48,KLRK1
49,AKT1
50,TBX21
51,IL21
52,PIK3CA
53,IL12B
54,ASCL2
55,CTLA4
56,JUN
57,CXCR4
