,Genes,LogChange,LogChange_Thresh
9129,VAX1,0.0,0.0
9130,DNAJB12,1.2534926010711303,1.2534926010711303
9131,EIF4EBP2,-1.6144712127219318,-1.6144712127219318
9132,NPFFR1,-0.11595779433676824,-0.11595779433676824
9133,PLEKHS1,0.0,0.0
9134,TCF7L2,-19.09586560203954,-2.0
9135,MKI67,1.9564691070760407,1.9564691070760407
9136,CYP17A1,0.0,0.0
9137,INA,23.750935426797174,2.0
9138,FUOM,1.0046788106377968,1.0046788106377968
9139,LRRC27,-17.152508245678966,-2.0
9140,MTG1,-1.1103441430878958,-1.1103441430878958
9141,NKX6-2,0.0,0.0
9142,PAOX,-20.212345240941374,-2.0
9143,GSTO1,1.0554254645622065,1.0554254645622065
9144,TAF5,-1.8429466348051362,-1.8429466348051362
9145,PPRC1,-1.2576576457973245,-1.2576576457973245
9146,ITPRIP,-0.8759439068463303,-0.8759439068463303
9147,CNNM2,-1.036304003702575,-1.036304003702575
9148,PDCD11,2.030938551537959,2.0
9149,ADAM12,0.08785835266187832,0.08785835266187832
9150,RGS10,0.5453256258572752,0.5453256258572752
9151,BTBD10,-0.2633174660733978,-0.2633174660733978
9152,ADM,0.0,0.0
9153,GAS2,0.0,0.0
9154,SLC5A12,-17.095873326466872,-2.0
9155,LIN7C,0.4228261005955213,0.4228261005955213
9156,LRRC4C,0.0,0.0
9157,IMMP1L,0.048396871669152235,0.048396871669152235
