,Genes
403,NFE2
404,PHACTR2
405,TIPARP
406,RFTN2
407,MAF
408,PPIAL4F
409,LHPP
410,LMNA
411,SGTB
412,KCNJ15
413,SEC61A2
414,ZFAND6
415,GATB
416,POC5
417,ERI1
418,TNFSF10
419,MAN1C1
420,LIMS1
421,HSD17B13
422,SUSD4
423,DPM1
424,EPB41L5
425,ASAP1
426,SLC45A1
427,PDE3B
428,ZBTB20-AS5
429,KXD1
430,TNFAIP8
431,SLC35E4
432,THEM4
433,GRAP2
434,CMPK2
435,MPV17L2
436,DYNC1I2
437,COL4A3BP
438,SSBP3
439,SLIT2
440,TGFBR3
441,GLIS1
442,ILRUN
443,SH2D3A
444,UBAC2
445,MBD3L5
446,MC2R
447,LRRC8D
448,OAZ3
449,PSD
450,LCP2
451,MBD3L3
452,PLCG1
453,PTP4A2
454,LGALS3
455,POLR1D
456,STUM
457,CT47A5
458,MAGOHB
459,GRB7
460,SRC
461,PRPSAP2
462,MAFTRR
463,GAB2
464,TESPA1
465,GNRHR2
466,THCAT155
467,PPHLN1
468,NBAT1
469,IPCEF1
470,SLC14A2
471,EDDM3CP
472,TMEM200A
473,CREB3L2
474,IFRD1
475,CT47A9
476,SLC12A9
477,MED4
478,ZDHHC20
479,HMGCR
480,RAB8A
481,MC5R
482,CYFIP2
483,UBASH3A
484,SMCO4
485,HYMAI
486,RASSF3
487,TFB1M
488,TRIM44
489,SMYD3
490,COPB1
491,C5orf52
492,TMBIM6
493,VOPP1
494,LRP12
495,TBCEL
496,ADD1
497,SLC2A2
498,TARDBP
499,MFSD13A
500,GHITM
501,HS3ST3B1
502,DDX59
503,GPR137B
504,KIAA1217
505,RAPGEF6
506,PIK3R1
507,AQR
508,MAP3K21
509,CACUL1
510,PRELID3BP5
511,PRMT7
512,GLIPR2
513,THG1L
514,NCMAP
515,SLAMF6
516,IL21
517,RASGEF1B
518,MAPK8
519,PSMD8P1
520,TNIP1
521,CEP164
522,DIAPH3
523,PCAT29
524,RMI2
525,PPP2CA
526,ECRG4
527,GTF2IP23
528,IQSEC1
529,MOGAT1
530,SH3PXD2A
531,BCL2
532,CELF2
533,ELOVL3
534,COPZ1
535,SLC22A15
536,TOX2
537,FAM133B
538,SMPD3
539,ADGRB2
540,CEMIP2
541,PTPRK
542,TRABD
543,C18orf54
544,SMUG1
545,HFE2
546,GMCL1
547,LDLRAD4
548,RGS9
549,USP6NL
550,TXNDC9
551,TXNP1
552,MYH9
553,FAM83F
554,GNA13
555,TEAD3
556,SNX9
557,CHD9
558,EML4
559,SH2D4A
560,IQGAP2
561,ZNF76
562,XCR1
563,PPIAL4E
564,SNAP47
565,ZFP36L1
566,MAMSTR
567,CHD7
568,RUNX1
569,SPRYD7
570,TAGLN
571,CT47A6
572,C4orf36
573,CCDC182
574,TLDC2
575,ZNF282
576,CT47A12
577,NINJ2
578,TBXAS1
579,MYO6
580,BZW2
581,PTMAP9
582,GMPS
583,MICAL2
584,PDZD8
585,LBH
586,SNX25P1
587,HIKESHI
588,SH2D1A
589,GDF7
590,RABGEF1
591,GPR75
592,UTP11
593,ARRDC2
594,DYNLT1
595,HTR3E
596,MET
597,TUBB6
598,PDE4C
599,RNY4P16
600,RCAN3
601,ADAMTS7P4
602,FLJ20021
603,OGFOD2
604,RNF157
605,PPWD1
606,CA6
607,LRCH1
608,CARD11
609,ADAM1A
610,TMEM41B
611,AHI1
612,SLC4A2
613,FGD6
614,GTSF1L
615,MAP3K7CL
616,NBEAL2
617,ESRP2
618,ANKRD31
619,PTK2B
620,MAP6D1
621,HSPA5
622,DDX60L
623,PSMD7P1
624,NFKB2
625,DLEU2
626,SLC25A30
627,SSH2
628,FHIT
629,SGCE
630,TOP1
631,ANTXRL
632,CAV1
633,CERT1
634,CD28
635,EXT1
636,NCALD
637,ZFYVE26
638,MTPN
639,ATG7
640,TBCE
641,NDFIP2
642,SYTL3
643,RERE
644,SCUBE3
645,PARL
646,ATP9A
647,FSCN1
648,AKIRIN2
649,PPIAL4D
650,IL1R1
651,ZMYND11
652,PSKH1
653,TRMT112P2
654,MBNL1
655,TSPAN14
656,ERFL
657,REEP3
658,SLC9A9
659,TIAM2
660,TPT1
661,SLC25A38P1
662,SMNDC1
663,MBD3L2
664,PDE4D
665,ELL
666,CYP2R1
667,DFFA
668,MRPS28
669,PCNX2
670,CT47A10
671,PGM2
672,TMPRSS13
673,FASTKD3
674,SPSB1
675,SUPT4H1
676,SLIT1
677,EIF3H
678,INPP5A
679,SOX30
680,DNMT3B
681,GFPT1
682,PDHA1
683,ANXA5
684,SFXN2
685,DIP2C
686,RNVU1-18
687,SWT1
688,BCAS1
689,SH3D19
690,RNF214
691,MAML2
692,C10orf95
693,RANBP6
694,LRRC1
695,RGS10
696,GATA4
697,CCNL1
698,L3MBTL3
699,CXCR4
700,TEDC1
701,VAV3
702,CA11
703,GBF1
704,FRMD4B
705,PAQR8
706,ST8SIA1
707,SLC29A3
708,SGPP2
709,SHISA8
710,GGTA2P
711,FAM72D
712,RABEPK
713,MCF2L2
714,B4GALT5
715,ZNF212
716,CRACR2A
717,CTRL
718,ZBTB20
719,JUND
720,KCNH2
721,BRAP
722,CSGALNACT1
723,SPAST
724,SOCS1
725,RSL24D1
726,SLC10A6
727,LEKR1
728,NOD1
729,KDM6A
730,GRHL2
731,FBXL15
732,FKBP8
733,MRTFB
734,PPP1R16B
735,HMGB2
736,METTL10
737,MGC12916
738,RABGAP1L
739,ASCC1
740,MAPK1IP1L
741,PITRM1
742,TMTC4
743,DUS2
744,CPA3
745,RAB6A
746,SLC7A6
747,TRAF5
748,MCM3
749,SRRM1
750,SIK3
751,METTL8
752,ARSB
753,EVL
754,FGF12
755,UXS1
756,UPF2
757,SLA
758,SH3BGRL3
759,SFXN3
760,CASP8
761,PKIG
762,FOXC1
763,CXXC5
764,ATP8A1
765,ESD
766,CNIH3
767,IL7R
768,MYBL2
769,RIC1
770,C3orf58
771,GDF10
772,NSMCE2
773,SLC12A4
774,POLI
775,MSI2
776,ANXA1
777,FLJ25758
778,GEM
779,RSU1
780,SLC7A6OS
781,TBC1D30
782,EBF2
783,ZNF572
784,SLC25A13
785,PSME4
786,CUEDC2
787,CBLB
788,MUCL1
789,RALGAPA2
790,DYRK2
791,LMNTD1
792,COG2
793,TTPAL
794,CEP128
795,AMPD3
796,SPAG1
797,NUDT4P1
798,SETD9
799,PRL
800,GRHL3
801,TSHZ2
802,GFOD1
803,COTL1
804,SLFN5
805,PTHLH
806,ISG20
807,ESR2
808,MARS2
809,PRKD3
810,RLN1
811,DENND4C
812,SLC35F3
813,ISYNA1
814,NOP14
815,RNF126P1
816,RPN2
817,ZPR1
818,AUNIP
819,RASSF5
820,RAB2A
821,THEM5
822,BEND4
823,GRK4
824,TMEM99
825,TRAPPC3
826,ARID5B
827,RAB27A
828,PRCAT47
829,ZNF608
830,EML1
831,C5ORF15
832,BORCS7-ASMT
833,PLA2G15
834,NRP1
835,LRMP
836,CT47A2
837,PVT1
838,ADGRE4P
839,NKX6-3
840,SGK3
841,FKBP5
842,NDUFB1
843,PLIN2
844,TSSK2
845,CTNNAL1
846,ADGRE1
847,SCAF8
848,CASC1
849,ORAI2
850,KCNA2
851,SLC35A5
852,MACF1
853,PHTF2
854,PGAP2
855,KSR1
856,ZNF385A
857,NUP35
858,GTF2H5
859,ATP2B1
860,CT47A11
861,WASF3
862,KIAA0196
863,EPHA4
864,C19ORF12
865,RALGDS
866,METTL15
867,PACRGL
868,KCNRG
869,PDLIM1P1
870,MRPS23
871,ZPBP2
872,SNX31
873,SYNE2
874,CLLU1
875,PLCL1
876,ABCB9
877,XXYLT1
878,KIAA0513
879,DPP4
880,EIF5B
881,CDC14A
882,DLEU1
883,VSIG10
884,ADH5P2
885,BUD13
886,MROH8
887,HMGB1
888,CLEC16A
889,ASAH2
890,DPEP2
891,GTF2A1
892,ELMO1
893,CT47A3
894,RAD54L2
895,GOLGA5P1
896,INSM1
897,STKLD1
898,TSHR
899,PARD3B
900,FASLG
901,DLEU7
902,ZEB2
903,GIMAP5
904,SPHK1
905,IPO7
906,DTHD1
907,TAB2
908,TBC1D1
909,IFI44
910,AMZ2P1
911,EMX2OS
912,IL10
913,TRAFD1
914,ZIC4
915,AOAH
916,TRDMT1
917,TP53BP2
918,ANKDD1B
919,ITGA4
920,PCSK7
921,SCML4
922,MTMR2
923,CERKL
924,NIPAL3
925,LRRN3
926,LRP8
927,TSPAN13
928,STX11
929,GPX1
930,WSB2
931,BCL11B
932,AFF1
933,ZNF280D
934,TRPS1
935,SSBP4
936,SPP2
937,CASC19
938,GPR108
939,ARL3
940,TM2D1
941,DMTN
942,MCTP1
943,GASAL1
944,PSMB10
945,LSM11
946,TNFSF14
947,HSD17B11
948,MFSD5
949,CAPZB
950,PARD3
951,CUEDC1
952,ARHGEF3
953,PLCL2
954,TNRC6B
955,PPP4R1L
956,TLE3
957,GTF3C5
958,ENDOD1
959,CLINT1
960,COG6
961,DPY30
962,CT47A4
963,DEF6
964,TC2N
965,CTLA4
966,MARCH7
967,UBR5
968,TXLNB
969,MCCC2
970,LFNG
971,INSC
972,AUTS2
973,GAPLINC
974,SEMA4D
975,STMN1
976,SP100
977,ZFAND5
978,PRMT3
979,H6PD
980,AKAP1
981,PRKACB
982,CCM2
983,IL19
984,CAMK2D
985,PGPEP1
986,DEXI
987,SOCS2
988,TRAPPC13
989,NFKB1
990,TCAIM
991,TRAK1
992,PARP11
993,ATAD2
994,NEAT1
995,PODNL1
996,ARPC4
997,SLC16A11
998,INPP5F
999,LTBR
1000,LY75-CD302
1001,RECK
1002,MFSD10
1003,RAB30
1004,SUPV3L1
1005,TPRG1
1006,ATXN7L1
1007,AANAT
1008,JAG1
1009,TMCO2
1010,HBS1L
1011,CASP8AP2
1012,ENO1
1013,RAB22A
1014,UPP1
1015,POP4
1016,TMSB4X
1017,PLEC
1018,DHRS12
1019,GNG4
1020,DCTN4
1021,RNF2
1022,DYRK1A
1023,PDE1B
1024,GTSF1
1025,DGKG
1026,GALNT2
1027,WWOX
1028,CHST2
1029,LDAH
1030,BACH2
1031,PLEKHF1
1032,CTSB
1033,MTFR1L
1034,PRMT8
1035,CDK20
1036,CRLS1
1037,TMEM232
1038,PPARGC1A
1039,FAM92B
1040,ANLN
1041,DDX28
1042,CT47A8
1043,ERBIN
1044,HMBOX1
1045,RIPOR2
1046,GOLGA8A
1047,PRM2
1048,PPFIA1
1049,RBMS1
1050,C19orf60
1051,ARL4C
1052,VAV1
1053,PIK3AP1
1054,TXNL1
1055,YWHAZ
1056,SESN3
1057,CXCR5
1058,SENCR
1059,LRBA
1060,PRPSAP1
1061,LZTS2
1062,ST6GAL1
1063,HIGD1AP18
1064,GLS
1065,CFLAR
1066,NFU1
1067,LGALS9
1068,ADO
1069,BACH1
1070,SYNE1
1071,RGS1
1072,FAM175B
1073,ANK2
1074,MYO1B
1075,SORL1
1076,TVP23A
1077,SKI
1078,PLEKHA1
1079,ADAM19
1080,CRLF1
1081,CHGB
1082,TRIP10
1083,TPD52
1084,MX1
1085,PLCH2
1086,KIAA1683
1087,CDKAL1
1088,IFFO2
1089,TNP2
1090,CHD2
1091,PRDM14
1092,CEP192
1093,GRB10
1094,FBXO21
1095,ANK1
1096,AFTPH
1097,CT47A1
1098,FAM53B
1099,SNRNP27
1100,KIAA0825
1101,VIM
1102,ZYX
1103,FLJ42393
