"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65","Z66","Z67","Z68","Z69","Z70","Z71"
"SEACell-0-Tfh",-1.48287730501708,-3.10587682776612,-2.34680902001065,-1.75078868431426,-1.504468709399,-2.07257510356402,3.54502807607966,-1.70441274928712,1.97271222860022,5.093615505926,-0.202610392527494,2.45805067348747,1.57049843761008,-0.341007700133955,0.406736244309321,-2.38691429207384,-0.33759094076675,-2.27615454304951,-0.00973680529837648,-1.62503042314422,0.1926431022123,2.45030166014988,1.87654770492821,-2.69067807766266,-0.904699800349843,-3.78817190149344,2.4568303273036,0.29747546698284,3.19987613322178,-1.67886836115414,-0.271500075728885,0.455201878450401,3.41554267506844,0.472204224328764,2.03619821474926,1.32308844084096,-0.654959993395276,-1.09255507964915,-0.187507633724004,-1.06200827883388,-1.95509269713969,-0.0744769261820138,-1.802714423565,-0.887741048854531,-0.0156124453244809,-2.28362915640116,-3.38241991094333,-0.990243486725027,-2.07144064454142,-1.16754563784588,1.85931804996957,2.15331543731047,0.120046181634229,3.24341496376902,0.0776232366846928,-0.239284823059372,-0.784057461832573,5.21858521897807,4.54414684466747,-0.838966588817153,-2.70844691777332,-0.657458220305983,-3.13084730922239,0.988364637919849,-1.90040562782835,-1.70690158783341,-1.21140819085544,-1.68968822477875,0.192436806657138,2.22989425307905,-0.590794753598144
"SEACell-0-Tfh2",1.31856167922338,-0.165106778480191,0.819752336514623,0.849560370287994,0.474260510529707,0.00392410796879741,-1.00571539106197,0.0487902891559179,0.229489140349399,-1.99242930803754,-0.644124622377157,-0.498542376012947,1.69933199834002,-0.240294950551631,0.502181394888045,0.931054882688172,-0.448045821935683,2.19685139632551,0.723110473610568,0.23049597897196,-0.240705035633962,-0.537992342268388,-0.0825155157250975,1.52984583016691,0.475641983382794,0.419950082922129,-0.333587477896491,-0.567116313527455,-1.57190388816116,0.100424046020853,-0.254820652431573,-0.192236176910283,-0.238149620495717,-0.483833974441719,-0.593080857086675,-0.426639115068017,-0.647493436412609,1.32122615685162,0.927396010300078,0.174556125021991,0.246536054802034,-0.367696655961396,1.16115341246553,-0.723100044694552,-0.418980125482376,0.240215316222285,0.553145509284827,-0.115219338497629,-0.516881487038031,-0.057383285292469,-1.07748046037543,-0.542557015399197,-0.631202466982924,-0.238093384920126,-1.46631025637857,0.092165001012982,0.623987481290443,0.478757087077986,-0.123719261596223,0.290524480127702,1.03858715095422,-0.226564167901482,-0.864082371468227,-0.826725035458447,0.257578040639038,-0.136456645396728,0.408651186889365,-0.192555012451784,-0.0523007866972822,-0.832957305032593,-0.672041515017267
"SEACell-1-Tfh",0.289335111127383,-1.94414268294521,-2.11682601571865,0.469035491459254,-1.43488799932699,-1.12173943695607,3.1048856627536,-1.84505912971028,-2.22554893961759,2.61286298286311,1.87040926317116,2.96186381818581,-4.40680091514901,-0.778396377722206,-0.657156402269883,-2.70545255732934,0.36048005445876,-2.50696410554309,-3.50760668971383,-2.24681914890579,0.782861148255087,2.59016668590283,2.51741137539786,-2.28382906219787,-2.52086504327819,-2.24452436715727,0.892546491465233,-2.04926310933217,1.50777881407473,-0.294423511423465,-0.91146754481594,0.329020429055281,1.47564182750097,0.277210530551838,2.98336347048585,2.62151959936589,-1.06208905469326,-1.67845200635345,-0.358185722550186,0.239636980928637,-1.97417440132533,-0.292700073564788,-1.15520545961079,0.520034363419988,-0.187391524042233,-1.16052755383857,-3.77708743059423,-1.71867424570899,-1.08074885724409,-0.929631674031231,3.29745301412032,4.04550875808195,1.80042233442659,0.715119711736676,1.75257852135658,-1.05506640584819,-0.389827867198897,3.84869486447567,1.99333622073432,-1.4447694099486,-4.25478575008801,-0.374624672333795,4.12491203106957,0.471017696186488,-3.08926251532547,-0.523252371892543,-2.73871691520848,-0.914033594224237,0.172030382597242,1.63701688193616,1.73141717084867
"SEACell-1-Tfh2",-1.82268436342067,2.67793652466945,0.132281881378809,0.787059134458972,0.575676532154827,-0.665250510757266,-0.647974026562294,1.22584369308069,0.0130427309733894,-2.22437221616635,-0.310168122614081,-0.671226555951057,0.440228028027806,-0.170490346236296,-0.768083293192743,0.48583445587599,-0.901603866159292,0.753372515908083,2.71552317699921,2.14266541514771,1.1568008803708,-0.689832058191884,0.535344316463798,0.0951565213274961,0.104883735917929,0.300704653793512,-0.420422532853357,1.78485521241209,-0.697480500518473,1.68663707703496,0.155656728386994,0.458101485696686,0.0370334619060491,-1.79255221830134,-1.08778623991597,-2.15382020456563,1.95222309321778,0.707111013422247,0.156597160399942,0.325495385068775,1.73252219614293,-0.552293913017211,-0.00271018673295463,2.11999374332001,-1.60627380217003,0.389308969637068,3.03025607986175,1.75730059651068,2.78062265891238,1.13963855477916,-0.88779396578175,-1.6497238898789,-1.24886755130272,-1.28320513716785,-0.955710594868786,-0.667972965294566,-0.400387058008856,-4.2338024340652,0.315531239668601,1.25049720649723,1.75713267544101,-0.172778362722529,-1.74958873515673,-1.15961064776125,1.12213435170599,-0.257902996300506,-0.281805284416834,0.0051580566543676,-0.0733756470028837,-1.33893528380238,-2.33375773986584
"SEACell-10-Tfh",0.570571821908793,1.80811747985934,1.48105656638534,-0.0428082503998062,0.51671612063243,-0.300189242373453,-0.655477757644484,-0.228688237734017,-0.192164166913554,-3.27921228717711,-0.747391544519903,0.101105156052312,0.575421650269678,0.0223665423129808,0.587861719338191,0.827827685906269,-0.875278684889324,3.29553755468623,2.27502925600325,1.32292650323044,0.00253253314964906,1.08014679392894,2.79055561857929,2.5859021128612,-0.037542020239808,0.609124122593225,-0.0250260334412101,-0.920526177693444,-1.09035075969857,0.644070559471924,0.335165923519952,0.211057643837571,-0.659824022406933,-1.43281536604425,-0.789524401897624,-0.480984518727563,-1.09263628544406,3.98254895431658,-1.18830815730275,1.44390682346603,0.640272377768121,-0.621341652535522,-1.03818615575687,-0.356400197922718,-0.353090873536996,1.53905119125233,1.01990368059394,1.19595054842284,0.7736226374396,-1.06347587294,-1.43410894553759,-0.354553918781243,-1.0647519878609,-0.722177089710305,-1.34576644663566,-0.322231622645895,1.19813041925943,-3.46583172423058,1.27595921817196,-0.105857027974026,1.91597001062739,-0.0676514516527848,-1.11693212569932,-1.15412463521343,0.736782608936032,-0.388109390173011,-0.19454559079947,0.666424644462753,0.484328753105934,-0.916100952105118,-1.23116948478255
"SEACell-10-Tfh2",-1.36686931812366,0.420219895385963,0.278818440638043,0.305862865903339,0.442631514968835,0.0439496068396033,-0.82388080106615,1.04935607651507,0.737392125438092,-0.736297166483685,0.453855899858051,-0.723371588496555,3.18146763577134,-0.741588183741272,-0.100632789705197,-0.0685176656117062,-0.467684987330486,1.15934179543045,2.07945300168481,1.17735070275365,-0.274030228304201,-1.1805474063528,-1.16644724341949,-0.0623708469164142,0.634360750619137,-0.391059712619744,-0.390189352409239,1.61227373459929,-0.298649065924756,1.61413553406216,-0.167445383571538,-0.913065033391471,0.465745137612752,-0.840774137070951,-0.704461907664436,-1.8085692376902,1.06394910341116,0.120133419665109,0.725349438822585,0.0296692213216004,0.957756312071267,-0.391292594638869,1.05928258219785,-0.0489455440037857,-1.44972424796013,-0.826984428520065,1.97445575461293,1.16852376149104,0.840261904555126,0.827270535243423,-0.0966482920443943,-1.64325739607409,-1.05133607698655,-0.172421160193528,-1.49770964335471,-0.677203276635001,-0.529214580733838,-2.15472809845769,-0.106963356373211,0.545440867616199,1.40517548521463,-0.365631062757159,-2.60753945012922,-0.425775717432761,0.852896700077736,-0.158890658818748,0.696215472243228,-0.383367438026183,-0.430716811104456,-0.917256141858404,-0.374154478357747
"SEACell-11-Tfh",0.380622097546757,1.28319917959631,0.785807149110495,1.98538028337319,0.616638872138531,-0.0639773337627366,-0.753458728454439,0.667996901955397,-0.742665630681943,-0.928234785074706,-0.469519249820123,-0.380931826216073,0.842233329839367,-0.25182669916339,0.62100686051725,1.03400015344549,-0.660909945623004,2.30118943178349,0.768335250735749,0.829909609825093,0.385520577631925,-0.499333728419298,0.135452486166943,1.30114242868651,0.452907215876083,0.882699036602471,-0.753113738110507,-0.0375598212097025,-0.952226203047172,1.07793575403397,-0.244023886924841,0.0809877234229765,-0.257711704181288,-0.874070643022714,-0.671504255411394,-0.826996501271898,0.377997656820396,1.12543649344199,-0.60152739809377,1.95541454182667,0.732498819233673,-0.571393471424752,-0.193570893627587,-0.150080654082077,-0.602932899200508,0.271733197882025,1.23668647721376,0.520892430011538,0.0244478954022653,0.0868932241101893,-0.518462354883667,-0.384572706073641,-0.916070320463276,-0.562022294609626,-0.474002300012079,-0.164310413879854,0.467849189805417,-1.60813636046142,0.196348344838763,0.944128381148831,0.879712683520558,-0.252261378896307,-1.08339553175707,-0.948740939528947,0.0699351545689917,-0.646225253097903,-0.117548087906365,0.0127156723685662,-0.244665921679505,-1.07182026459602,-0.625897109197163
"SEACell-11-Tfh2",0.871388385461368,0.709546572684428,0.83476442976282,1.65835507189653,0.480130326295242,0.348657492897413,-0.869710329000066,0.378147541947392,-1.00967207373658,-1.74844658112462,0.342241886406766,-0.364534529917301,1.63744090626948,-0.858116918602211,1.0585032118934,0.128724489024746,-0.229623250719705,1.44134541511774,-0.304385924998855,0.433636658342305,-0.500397856921473,-0.110269911690914,-0.0750485015696161,1.27809036917496,0.0484682078208961,0.321107915107124,-0.17081532458183,-0.245879450966777,-1.68306335130113,1.22435095133398,-0.365186838122593,0.0418980735094261,-0.907163527999884,-0.510996557224339,-0.339742046751653,-0.334112041967398,-0.685688101769899,1.3852680730302,0.568508026716079,0.497225105853391,0.695314515299927,-0.396585646539504,0.675652310672473,-0.657203360755135,-0.35565120919446,-0.246014241547862,0.448446974721958,-0.0141710223396197,0.453195845213176,0.459337644295999,-0.721126399471265,-0.0413433483793315,-0.466471564807385,-0.924939573594737,-0.158821737287063,-0.96781413564569,0.635937832184434,-0.749471583587192,-0.799540491236625,-0.101149107262292,0.177502153759922,-0.161288104985437,0.885302826560337,-0.743997518663423,0.0336564757675693,-0.30709622976097,-0.263707118660517,0.477298370283201,-0.478573219911645,-1.04016891379132,0.812728765977163
"SEACell-12-Tfh",-2.73037702129056,-4.82942952817519,-2.94315191550938,-2.94999207174153,-1.70488356113384,-1.96249482786331,1.68592498208751,-2.19945471487152,5.91804038920532,6.39774906636517,1.21533061293299,-0.120972591398373,4.99341014516107,3.47762101569252,0.963594796893566,-0.457173199985117,-0.0742749636410785,-2.97991730808529,2.17767364371175,-2.0375483039411,0.0807442992291409,2.711207704005,-0.666315124366036,-2.51975842384443,1.36856246548522,0.822816098964112,0.925267187117608,0.956040652012384,3.59761806860226,-2.56968380965294,-0.188080241715427,-0.272414219178477,5.50560860906237,2.22417699675761,1.14168751008023,0.423480883384928,1.10693921652709,-1.13097386088221,-0.775324893813642,-0.275170022126617,-1.85218482181154,0.674336272532436,-1.84503180147611,-2.18347054581423,2.15467116736898,-4.27593577670691,-2.91625208453444,-0.0971771619131523,-1.43799900479198,-2.38289919387767,1.37598663769417,-1.71896925841639,2.39816989610734,4.04248200457145,-2.29973068482352,1.08526552008118,-1.14455185789374,4.749240539588,2.05773191663851,-0.619423935525573,-1.68309505853446,-0.574060932789892,-6.25622065033998,2.4493284600563,0.42800743867381,-2.01087256543386,2.14288699874265,-1.67943166342657,-0.0489241672199806,3.49086266035426,1.61006258501157
"SEACell-12-Tfh2",1.10465839377739,1.13720193047005,1.71491874693195,-0.982350485564353,0.62333571280659,2.10757688686322,-0.674991087800927,0.293306072554564,-1.03404984459618,-1.30319007975217,-1.21090239732326,-0.743508389872292,-3.17348237686537,0.873689233885504,-0.521209840500382,2.87279511708708,2.61110186026743,0.0478311574243839,-1.31700523614021,0.495394229861386,-0.585713096893192,0.852031920332359,0.894390248928997,1.6026620902079,0.464739421694255,3.92927884784518,-1.32949489384583,-1.06475773039284,-0.937116114500002,-1.18580485944478,3.13627505673167,-0.833293121845889,-1.29976642031609,0.894880210660783,-0.799835093550871,-0.754020243682531,-0.800044630452372,1.67106458384191,-0.715507331497133,0.755879260674836,0.18510474889183,2.67790996122753,0.650622510671828,0.494651675470795,0.888349512159859,4.01460507226629,0.747254917948318,-0.463402288642333,0.198566520507623,-0.332566047388812,-1.41662371793884,0.353571728836558,-0.0429310138011902,-0.845624146811429,3.9834985986241,2.17056464064126,0.605892368252571,-0.682996442647266,-1.29701760137534,-0.0036145051333124,1.83122757125362,0.0399417303466336,2.62875046223047,-0.98173625839353,0.270818783208728,2.38553121814846,1.62538361970741,0.673386431507129,0.194103836092309,-0.470919380936066,1.57600782377235
