	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
AC023509.3	1.7128265272319064e-5	1.3029077596311616e-5	1.361961486443642e-5	1.3644059370069313e-5
AC138696.1	1.4970243665927293e-5	1.2591355656960698e-5	1.5179011832425364e-5	1.3818458620817893e-5
AHR	7.901712702046736e-4	1.5735489049532227e-3	8.071597810826285e-4	2.2212524702219582e-4
AIRE	3.884167443327281e-5	3.8430219260214825e-5	2.7453287500674197e-5	3.0053061331424543e-5
ALX1	5.314056101495256e-5	5.007900336363624e-5	5.8856489234688176e-5	4.831752189632248e-5
ALX3	7.27438440397832e-5	7.44066473881254e-5	1.8149248166842672e-4	6.521727721749388e-5
ALX4	6.048181948625535e-5	6.391717190298916e-5	6.889052036993974e-5	4.283690795691982e-5
ANHX	2.5585979963154752e-5	2.6830851361296832e-5	3.869980162684769e-5	2.782125350920274e-5
AR	2.7410449981414754e-4	2.3721411282935385e-4	2.455089117363156e-4	2.205868716723916e-4
ARGFX	4.5641034185331444e-5	4.655117400494089e-5	4.982249466624043e-5	3.277084966080443e-5
ARID3A	4.6751251518674597e-4	1.755347112052285e-4	3.8162587291658154e-4	3.467833541036309e-4
ARID3B	4.37035514186098e-5	1.0112274508997973e-4	2.407045333770988e-4	4.061345800895345e-4
ARID3C	5.7429119398075325e-5	4.226557791543992e-5	4.616856186999102e-5	5.311416363383616e-5
ARID5A	9.13475100346841e-4	4.853605239106655e-4	6.27754111124369e-4	6.58999249513882e-4
ARID5B	8.994232768860192e-4	8.436067242100613e-4	1.2230957457455083e-3	6.177495417485291e-4
ARNT	3.531876559669386e-4	6.916760204293184e-4	7.655504944643853e-4	3.3419511422906e-4
ARNT2	2.0919136400029754e-5	1.8614827210693758e-5	7.545620488247523e-5	6.307344137604182e-5
ARNTL	2.7919755705206037e-4	2.491611361074045e-4	3.022103905662029e-4	3.316323643660001e-4
ARX	7.686602232986768e-5	6.317238833732485e-5	6.17998235658853e-5	5.797371117648405e-5
ASCL1	2.307193883818209e-4	2.0399712604438647e-4	2.522402213684953e-4	2.455151880453502e-4
ASCL2	4.3352416488867565e-4	3.957307125254211e-5	6.61923204778046e-5	5.9452589150107524e-5
ATF1	9.836365142858038e-4	7.201080147270743e-4	1.1324559357830445e-3	1.1082946605832072e-3
ATF2	1.428252181237682e-3	7.831471218350437e-4	6.39393352010713e-4	7.97911550326822e-4
ATF3	3.0079195158135112e-3	3.621096281861258e-3	4.144256872715982e-3	3.3565991265319377e-3
ATF4	2.2324211691125287e-3	2.011069587017471e-3	2.855149300244572e-3	3.3415934447647267e-3
ATF5	6.694403655884506e-5	7.061635935438002e-5	8.386211924112892e-5	1.661151913188567e-4
ATF6	1.307657263869332e-3	9.042104979287038e-4	1.2349672578556427e-3	1.2930483164820218e-3
ATF6B	3.0429402894080436e-3	3.2586968451453788e-3	2.0861430557639975e-3	2.535936890826023e-3
ATF7	5.051292585403365e-4	6.580615048224103e-4	4.7358367982269794e-4	5.214956577020485e-4
ATOH1	1.2616031494396232e-4	1.1582295147909104e-4	1.3254248136549887e-4	1.463640480268445e-4
ATOH7	2.873702075949974e-5	1.6549100947040112e-5	2.7711542633669612e-5	3.3265465425652616e-5
BACH1	1.4363494391855863e-3	1.525195343483335e-3	1.8043853804182268e-3	6.887907398889889e-4
BACH2	1.6506043984874415e-4	4.327222208047814e-4	1.6594609759235313e-4	4.788464569804808e-4
BARHL1	3.534696421015555e-5	2.8830549700476578e-5	3.459410082116426e-5	3.318717626427619e-5
BARHL2	7.053606530879817e-5	5.418045131900477e-5	5.6848305234514776e-5	5.6324408752816945e-5
BARX1	5.441042183558365e-5	6.25109273979491e-5	5.4890773669958696e-5	5.6688041127097635e-5
BARX2	4.0290041566523744e-5	3.400706792388821e-5	4.8624526234135946e-5	8.178060575176443e-5
BATF	3.7255534113749596e-3	2.0411792940420387e-3	2.632931595601605e-3	1.60795708901799e-3
BATF3	5.057132166842427e-5	3.5285786710156965e-5	3.951270192808068e-5	4.568114293492894e-5
BBX	3.3033328056781983e-4	3.6983037648325617e-4	2.505599068963958e-4	3.6556592587604406e-4
BCL11A	8.427645567239463e-4	1.062322412963792e-3	2.3925160161259256e-3	3.4421118367222157e-3
BCL11B	2.1047952582025628e-4	9.413350597873169e-5	1.7755751251736254e-4	1.7684053120042018e-4
BCL6	7.752122550616536e-3	7.092913093758411e-3	5.971690401501486e-3	5.614414835698231e-3
BCL6B	5.2820268241511284e-5	5.005813295261603e-5	6.483788256699484e-5	6.668959534309208e-5
BHLHA15	1.036085254934132e-4	8.495504927438934e-5	1.1660355179837195e-4	1.2341968637053516e-4
BHLHE22	2.6664347577803725e-5	1.9296572034923468e-5	1.9796358447370904e-5	3.0008515855448914e-5
BHLHE23	3.307943528196354e-5	1.897960901133097e-5	2.344028215031384e-5	3.3470548838267487e-5
BHLHE40	7.466131227428527e-4	1.463171016103756e-3	1.0572455000074639e-3	7.355098091625426e-4
BHLHE41	3.547044815955944e-5	4.1875908513994146e-5	4.3904817512422624e-5	4.0807200892063954e-5
BNC1	5.2975033330558975e-5	5.1209597084530334e-5	5.5424879454745055e-5	5.0981846532742686e-5
BNC2	5.2975033330558975e-5	5.1209597084530334e-5	5.5424879454745055e-5	5.0981846532742686e-5
BORCS8-MEF2B	8.966681447191227e-5	2.8567357727766085e-4	8.028874039174627e-5	3.300095100786004e-5
BPTF	5.140484971921609e-4	8.01002028073347e-4	1.121853336415788e-3	1.0157806386452838e-3
BSX	4.749050295543275e-5	5.642597593085248e-5	5.665007119926181e-5	4.308340352336199e-5
CARF	8.513146614221122e-5	2.722811173644669e-5	2.8703341410316447e-5	9.937139920236887e-5
