Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
HSF1,0.0023095554167374068,0.0024213898912134324,0.0014320797046806,0.0030046843923950167
HSF2,0.0019056299337573829,0.0011412376532557002,0.00028750836661235003,0.00112535487859619
HSF5,0.0002531730268667007,0.0005980080328676523,0.0005765158485516391,0.00018187932287774125
IKZF1,0.006938566291518724,0.005591090940202064,0.0064767313514667805,0.004914795219828648
IKZF2,0.0008656841351508903,0.00017970231202292655,0.0011984415545034483,0.0012901700416649482
IKZF3,0.0008810148696843945,0.004391284347391718,0.002678590151908076,0.001942710905517085
IKZF5,0.00031499788668771915,0.0004986341375161696,0.0003810034851560319,0.0008674135564751787
IRF1,0.007011783031548202,0.008339733984417844,0.009288466224130971,0.0060541883184381945
IRF2,0.002015651586198902,0.003416035319339726,0.005688099698255751,0.002743508057801641
IRF3,0.009101778900876782,0.006859904576889685,0.006600057935178845,0.009273331641885896
IRF4,0.0029849906267293705,0.00267222016249544,0.005667030149848871,0.003410634843498227
IRF5,0.00034262599916349407,0.0007214031097825083,0.00024523174620168784,0.0005285710026968963
IRF7,0.0032755391424022567,0.0009356818596988294,0.003512306670410514,0.003794729238802604
IRF8,0.0032670472303509084,0.003875076820263473,0.00368921144689155,0.003049408701770463
IRF9,0.0014397102953319935,0.0010696607901537296,0.0015080032182514123,0.002955077658787084
IRX6,0.00015355368419394506,0.00016732243478325418,0.000155988258517507,0.00015758160957536228
ISL1,0.0001101734745591122,0.00010746588812868664,0.00011376341635886035,0.00012835467284380762
JDP2,0.00011207484009410806,0.0001193921973068352,0.0002650858468103123,0.000144997017449829
JUN,0.023886268608045352,0.02184969200696145,0.01526496492635123,0.020605085490276
JUNB,0.013889017048186354,0.01397832181071326,0.011304742388123953,0.01164454514782427
JUND,0.0024109565185710773,0.002699734718326305,0.0016564624095358922,0.001727167567235475
KDM2A,0.0002087698366465489,0.0002183235364090469,0.00023878099523533237,0.000145435797200112
KLF1,0.0003491116558963087,0.000350481103891006,0.00030899981972391176,0.0003832871602904863
KLF10,0.002446256824449689,0.003395591716421376,0.0014486212190482294,0.002207941765954083
KLF12,0.0035515100360006997,0.004083819981910315,0.003660831146031748,0.003966308359181762
KLF13,0.0006875352366541318,0.0008001935332152062,0.0016121598120518528,0.0006580938855640043
KLF14,0.0002342099872147047,0.00020067140865208963,0.00020306112623984948,0.0002284360238832767
KLF15,0.00033801911767041416,0.00031672637575442565,0.000294931731490219,0.000358436634401434
KLF16,0.0004425373436676667,0.00037048171659660257,0.0001520283319870185,0.0001884533783195064
KLF2,0.002884221108540741,0.0019216902523381703,0.0007257809677212612,0.00025684786490086386
KLF3,0.0018683427087942456,0.0013757935636353898,0.0012278293835902225,0.001292386071846202
KLF4,0.0010944042031418278,0.0012169455490505857,0.001281024325314312,0.001933478856601487
KLF5,0.00027972225124947824,0.00027790323388355144,0.0002617403209535009,0.00029911905103755535
KLF6,0.008234357825263963,0.011404973710245047,0.00777177744799587,0.010070321328784802
KLF7,0.000826947247241029,0.0011446723615476655,0.0006361429215521331,0.0005887654565341303
KLF8,0.0001132743137928706,0.00011837279720284838,0.00012329877777532877,0.00013080276406564562
KLF9,0.00295996518499458,0.001292913101527372,0.0020874116111950745,0.0010417639980720523
LBX2,0.00012206486975555304,0.00012341318318079107,0.0001104184539703932,0.00012517901862737514
LCOR,0.0002818736129290545,0.00022708016761829812,0.0003675908358866292,0.000402405482269393
LCORL,0.0002146338188339883,0.00028606840978746546,0.0004018995575256163,0.00014593941253552645
LEF1,0.01287750985767792,0.007565351239379151,0.003148057916938614,0.003143922696772128
LHX6,0.00013034188859739027,0.00014933377581464492,0.0001418089461689508,0.00016673134927539982
LHX8,0.000267787374522834,0.00028075445045566943,0.00027436372581035834,0.00030891188380876634
LIN54,0.0010718891097594167,0.00037868730036786974,0.0017085030356617076,0.000796256645092984
LMX1B,0.000122696412770621,0.00012474174224918208,0.00010972696678346306,0.00013723860526777587
MAF,0.0005155195725351275,0.001999194123779688,0.0019232008121832424,0.00290588123293006
MAFA,0.0001425937010437068,0.0001450508188622448,0.00015696078030781957,0.00017337768457879524
MAFF,0.0011256745521256476,0.0011046055267509363,0.00216340244187517,0.0008215983121284882
MAFG,0.00012667032558066953,0.0006419924579675424,0.0004658853724277491,0.001074041745998726
