Genes,Naive_rank,Early Extra-GC TFH_rank,Late Extra-GC TFH_rank,GC_rank
FOS,0.0001,0.0001,0.0001,0.0001
ELF1,0.00211864406779661,0.00211864406779661,0.00211864406779661,0.00211864406779661
KLF6,0.006355932203389831,0.00423728813559322,0.00423728813559322,0.00423728813559322
JUN,0.00423728813559322,0.006355932203389831,0.012711864406779662,0.006355932203389831
ZNF281,0.019067796610169493,0.038135593220338986,0.036016949152542374,0.00847457627118644
SP1,0.01059322033898305,0.01694915254237288,0.01059322033898305,0.01059322033898305
SP3,0.038135593220338986,0.06779661016949153,0.0614406779661017,0.012711864406779662
ETS1,0.0211864406779661,0.014830508474576272,0.05084745762711865,0.014830508474576272
CTCF,0.04449152542372881,0.01059322033898305,0.014830508474576272,0.01694915254237288
SP2,0.01694915254237288,0.05296610169491525,0.00847457627118644,0.019067796610169493
BCL6,0.05508474576271186,0.046610169491525424,0.03177966101694915,0.0211864406779661
IRF3,0.04025423728813559,0.059322033898305086,0.06991525423728813,0.023305084745762712
KLF12,0.03389830508474576,0.029661016949152543,0.02754237288135593,0.025423728813559324
JUNB,0.014830508474576272,0.012711864406779662,0.023305084745762712,0.02754237288135593
ZNF331,0.025423728813559324,0.019067796610169493,0.04449152542372881,0.029661016949152543
SP4,0.02754237288135593,0.05084745762711865,0.01694915254237288,0.03177966101694915
ELK4,0.029661016949152543,0.0423728813559322,0.06567796610169492,0.03389830508474576
ZNF460,0.0423728813559322,0.03389830508474576,0.0211864406779661,0.036016949152542374
ZBTB17,0.15677966101694915,0.07838983050847458,0.15889830508474576,0.038135593220338986
EGR2,0.0614406779661017,0.048728813559322036,0.029661016949152543,0.04025423728813559
TCF12,0.059322033898305086,0.0614406779661017,0.07415254237288135,0.0423728813559322
VEZF1,0.00847457627118644,0.0211864406779661,0.006355932203389831,0.04449152542372881
HMGA1,0.05084745762711865,0.05508474576271186,0.048728813559322036,0.046610169491525424
SATB1,0.012711864406779662,0.036016949152542374,0.03389830508474576,0.048728813559322036
ZNF333,0.1016949152542373,0.3940677966101695,0.057203389830508475,0.05084745762711865
IRF1,0.03177966101694915,0.04025423728813559,0.05296610169491525,0.05296610169491525
ZNF770,0.06779661016949153,0.02754237288135593,0.11016949152542373,0.05508474576271186
ZNF354C,0.3538135593220339,0.00847457627118644,0.3559322033898305,0.057203389830508475
ZNF148,0.048728813559322036,0.057203389830508475,0.09957627118644068,0.059322033898305086
STAT3,0.06991525423728813,0.11016949152542373,0.125,0.0614406779661017
ZNF143,0.036016949152542374,0.04449152542372881,0.1843220338983051,0.0635593220338983
REST,0.11864406779661017,0.1483050847457627,0.09745762711864407,0.06567796610169492
ZNF341,0.5233050847457628,0.2648305084745763,0.019067796610169493,0.06779661016949153
IKZF1,0.023305084745762712,0.06567796610169492,0.059322033898305086,0.06991525423728813
NFATC1,0.09957627118644068,0.15889830508474576,0.0635593220338983,0.07203389830508475
ZNF180,0.3326271186440678,0.5508474576271186,0.06779661016949153,0.07415254237288135
