	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
AC023509.3	1.0	1.0	1.0	1.0
AC138696.1	1.0	1.0	1.0	1.0
AHR	0.0	0.0	0.0	2.995058154045771e-3
AIRE	0.9484120755506723	0.9017907537585305	0.9985223858543072	0.9982528827434732
ALX1	0.3681264061110239	0.40669095387141463	0.13190168940550662	0.4497578994658813
ALX3	3.7356772877099376e-2	4.079224177741292e-2	4.974634290498936e-3	6.199770378874858e-2
ALX4	0.1570658713964318	9.338601262250501e-2	5.22582869526671e-2	0.7207607447711276
ANHX	0.999947679589808	0.9995382010364822	0.8411564793380288	0.9996006589127939
AR	1.0464082038402767e-3	3.1299707527323584e-3	1.871644584544141e-3	3.044975789946558e-3
ARGFX	0.7191440380892586	0.5694494330134947	0.3474855932620795	0.9884191084710228
ARID3A	0.0	6.106008517625328e-3	0.0	0.0
ARID3B	0.8048971903939727	1.6881317666375906e-2	2.0686598039698634e-3	0.0
ARID3C	0.22597185161931665	0.7668941454153625	0.49780820568388906	0.2617181650277043
ARID5A	0.0	0.0	0.0	0.0
ARID5B	0.0	0.0	0.0	0.0
ARNT	0.0	0.0	0.0	0.0
ARNT2	1.0	1.0	3.364034871693833e-2	7.81211001846952e-2
ARNTL	1.0464082038402767e-3	2.41161680948232e-3	4.9253804856430605e-5	0.0
ARX	2.5166117302359625e-2	0.10026168607932684	9.614342707974188e-2	0.14451155593271103
ASCL1	1.5172918955684844e-3	4.5666786392324354e-3	1.1820913165542235e-3	2.3461288873358743e-3
ASCL2	0.0	0.8696700702960645	6.33896468502192e-2	0.1196525732541307
ATF1	0.0	0.0	0.0	0.0
ATF2	0.0	0.0	0.0	0.0
ATF3	0.0	0.0	0.0	0.0
ATF4	0.0	0.0	0.0	0.0
ATF5	7.288233139747813e-2	5.274770383293137e-2	2.2656750233955525e-2	4.991763590076359e-3
ATF6	0.0	0.0	0.0	0.0
ATF6B	0.0	0.0	0.0	0.0
ATF7	0.0	0.0	0.0	0.0
ATOH1	4.185632815361218e-3	1.3700035917697195e-2	7.92986258188444e-3	6.18978685169469e-3
ATOH7	0.999790718359232	1.0	0.998374624439738	0.9852742974092747
BACH1	0.0	0.0	0.0	0.0
BACH2	2.511379689216775e-3	0.0	5.713441363345284e-3	0.0
BARHL1	0.9886464709883326	0.9986146031094464	0.9525193321184061	0.9857734737682823
BARHL2	4.734997122377438e-2	0.26081379239571045	0.16357188592818794	0.17730744271951282
