Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
AHR,0.00022212524702219585,0.0008071597810826285,0.0015735489049532227,0.0007901712702046736
AR,0.0002205868716723916,0.0002455089117363156,0.00023721411282935385,0.00027410449981414754
ARID3A,0.0003467833541036309,0.0003816258729165816,0.0001755347112052285,0.000467512515186746
ARID5A,0.000658999249513882,0.000627754111124369,0.0004853605239106655,0.000913475100346841
ARID5B,0.0006177495417485291,0.0012230957457455083,0.0008436067242100613,0.0008994232768860192
ARNT,0.00033419511422906,0.0007655504944643853,0.0006916760204293184,0.0003531876559669386
ARNTL,0.0003316323643660001,0.0003022103905662029,0.0002491611361074045,0.0002791975570520604
ASCL1,0.0002455151880453502,0.0002522402213684953,0.00020399712604438647,0.0002307193883818209
ATF1,0.0011082946605832072,0.0011324559357830445,0.0007201080147270743,0.0009836365142858038
ATF2,0.000797911550326822,0.000639393352010713,0.0007831471218350437,0.001428252181237682
ATF3,0.0033565991265319377,0.004144256872715982,0.003621096281861258,0.0030079195158135112
ATF4,0.0033415934447647267,0.002855149300244572,0.002011069587017471,0.0022324211691125287
ATF6,0.0012930483164820218,0.0012349672578556429,0.0009042104979287038,0.001307657263869332
ATF6B,0.002535936890826023,0.002086143055763997,0.0032586968451453788,0.003042940289408044
ATF7,0.0005214956577020485,0.00047358367982269794,0.0006580615048224103,0.0005051292585403365
BACH1,0.0006887907398889889,0.0018043853804182268,0.001525195343483335,0.0014363494391855863
BACH2,0.0004788464569804808,0.00016594609759235313,0.0004327222208047814,0.00016506043984874417
BATF,0.00160795708901799,0.002632931595601605,0.0020411792940420387,0.00372555341137496
BBX,0.00036556592587604406,0.0002505599068963958,0.00036983037648325617,0.00033033328056781983
BCL11A,0.003442111836722216,0.0023925160161259256,0.001062322412963792,0.0008427645567239463
BCL6,0.005614414835698231,0.005971690401501486,0.007092913093758411,0.007752122550616536
BHLHE40,0.0007355098091625426,0.001057245500007464,0.001463171016103756,0.0007466131227428527
BPTF,0.0010157806386452838,0.001121853336415788,0.000801002028073347,0.0005140484971921609
CDC5L,0.00043215866766324775,0.0002862186032217987,0.00019809934782700383,0.0002488564732997376
CDX1,0.0003383843057980331,0.00029850894153947785,0.0002955944756529879,0.0003394908351634724
CEBPG,0.0008306699586199968,0.0006619871708745519,0.00022103378662154496,0.0007007347717304353
CEBPZ,0.0003980229391425418,0.0003591927010394765,0.00042763951109473744,0.0003913017777893783
CIC,0.00015077768864498695,0.0002275067661921807,0.0003271399668833164,0.00023030131489908945
CREB1,0.0018687223947006484,0.002753243466520743,0.002159864225031965,0.0022191866996554084
CREB3,0.0009463961528315976,0.0004129188614789563,0.0009208158063133778,0.0016496520242419216
CREM,0.002878882396882022,0.0029382043779670767,0.0021712163765241752,0.0021312401138772973
CTCF,0.005935651756622351,0.011661257089889078,0.01037516722448076,0.008525782114983761
CTCFL,0.00029713350707242896,0.00031822823344199505,0.0007715477769294702,0.0003063012187593872
CUX1,0.0013867763032998958,0.000969618741490651,0.001000778895619526,0.0006763515150833699
CXXC1,0.0007142937187503132,0.0008581261168880081,0.00039536862029492106,0.0008647248025153378
DNMT1,0.003385186478841938,0.003558027709105971,0.0027160568385925566,0.0025873320451776627
E2F1,0.00031218349987395083,0.0002928513066459181,0.0007284292678512575,0.0003258920330793332
E2F3,0.0005532207296079189,0.0007770734013249806,0.0005377604579812185,0.0007882038639383962
E2F4,0.0004138973319436134,0.003029528228397056,0.004401578717431976,0.004059231911901239
E2F6,0.00036610258025147576,0.0003554301308951538,0.001101456492735821,0.0011548496267513382
E4F1,0.0002526851335443873,0.00016968895208549465,0.0002924483191426321,0.0004523151575911696
EBF1,0.0014567933720853823,0.0002883600512818553,0.0012330099551104922,0.0009619448435143674
