Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
GATA4,0.00020154891108700463,0.00019933953796345363,0.00016690086616484966,0.0001958530481400085
GATA6,0.0001714663594157139,0.0001840145278091332,0.00014443153435583634,0.00016593664464406295
GFI1,0.00014363124870111666,0.0010651072906344057,0.0003323063130861167,0.00027570566182771915
GLI1,0.00013974437646952366,0.00038186963466072736,0.0001611937904512593,0.0001504609267007088
GLI2,0.0001589082285915688,0.00016231257401107648,0.0001611635229456723,0.00017635461442320352
GLI3,0.00014705599185716508,0.00016501277096683928,0.00016985316690959108,0.00018144312338010988
GLIS1,0.00016487162213215477,0.00018097865477502737,0.00015669087983047792,0.00017095279884131006
GLIS3,0.0004130148335550924,0.0001478131560512593,0.00013327470039106167,0.00014315123572746793
GMEB1,0.00015017391620736342,0.00015617663835254276,0.00016415272207623988,0.00015306035359881874
GTF2B,0.0023952079134889064,0.002618686157197933,0.0011831867180835249,0.0015408521032532633
GTF2I,0.002226261571537905,0.0005227336868378666,0.002599304261203214,0.0009538621415797248
GTF3A,0.002104819707198366,0.002450517738756533,0.0018582002128338592,0.002379067436526855
HBP1,0.0008052802157510631,0.0008581996168112179,0.0004419654395744513,0.0008251486730376617
HIF1A,0.0017556059424108904,0.001680926241084991,0.001410853968451725,0.0017050312822692285
HINFP,0.00041269462507274326,0.00047294383339776505,0.0004794273546457917,0.0004056527839631701
HIVEP1,0.0005313910239087023,0.00011418970301630773,0.000527323353756743,0.0004266210993425104
HIVEP2,0.0012034805439713634,0.0013402669473914532,0.0015108817845780789,0.0015775160318278773
HIVEP3,0.0004344765151516804,0.0003223092323121301,0.0002049341149346056,0.0003513094123993836
HMBOX1,0.00019149201288326268,0.0003110843370510767,0.00015271324284602715,0.00013469983572701185
HMG20A,0.000904906642340023,0.0008415148115953156,0.001130658962490815,0.0006004524149912319
HMG20B,0.00100819149360258,0.0007114365855844771,0.0008155957012149045,0.0004708805965649384
HMGA1,0.009169597112301866,0.009431432529052475,0.00968136095646734,0.007604036270661714
HNF4A,0.00015763039344564666,0.000152244665372878,0.00013977273630261808,0.0001715189828400015
HOXA13,0.00021315968288335672,0.00023066636997799237,0.00019993630938368344,0.00023974562868268407
HOXA9,0.0002691689022955619,0.0002559414481132916,0.0002452251118884996,0.0002484640611019645
HOXB7,0.0002557630186963822,0.00022408248482630203,0.00020550079224900285,0.00023797898752631733
HOXD10,0.0002711389994657239,0.0002618975460320368,0.00021541397871187632,0.000247461593579218
HOXD13,0.0003175108284726352,0.0003632535472895084,0.00032386662704723084,0.00034643513303441104
HSF1,0.002363606915266758,0.002223980395649866,0.0012917500404795216,0.002260808547821743
HSF2,0.0019929693734877657,0.001423775504492475,0.0003309959086814264,0.0010459224655502595
IKZF1,0.00793505573958694,0.004903288326807963,0.005671178175078596,0.005133128737803508
IKZF2,0.0009536637173207552,0.00011817877679106298,0.0009787109519773514,0.0009346476274941148
IKZF3,0.001271453362511542,0.002121661818762155,0.0028531125225750983,0.0030786952692914323
IKZF5,0.0005510075238884676,0.0007405922625593764,0.0003079079808565242,0.0005021799645532384
IRF1,0.007577804030427208,0.006963095485860345,0.006981054260574167,0.00557939619756365
IRF2,0.002262244518576325,0.0032981409691489106,0.004261258996431491,0.0026436402437011834
IRF3,0.006223563936920848,0.004665556722068232,0.005342845368125738,0.007461355593047237
IRF4,0.003141338414565456,0.0023063994335193625,0.004785642403212608,0.0028941902493517446
IRF5,0.0003998297733790549,0.0006209354440430517,0.0002796909510103493,0.0005106075367537407
IRF7,0.00354751318836389,0.0008333492422162581,0.002380995006744354,0.002964936595999618
IRF8,0.003969952168760272,0.0037785789577145313,0.003497877754927433,0.002868865183059186
IRF9,0.001707318846615527,0.0009644934729323373,0.0015060399391424557,0.00228614598468207
JUN,0.01539179710207289,0.021352042892235298,0.01300272913183171,0.014312322719575703
JUNB,0.008516225256612577,0.0112683721981006,0.009106901348880205,0.007826124886488085
JUND,0.0017116815199622382,0.003001374427024757,0.0014640806150039857,0.0012258155566106216
KLF1,0.00044077605292457817,0.0004051852604129879,0.0004055299799651171,0.00047372881803221887
KLF10,0.002733431724663346,0.004565733254981834,0.0021760177006410635,0.0024288200043441613
KLF12,0.004614617851778628,0.004793406176560636,0.004754035027912879,0.005080835036107568
KLF13,0.0008343276987802073,0.0010178915034661435,0.001751001966167023,0.0006840456883509948
KLF14,0.0002786862691214772,0.00025136414389417773,0.00025338432662657995,0.00026942845024462814
KLF15,0.0004503902167299146,0.0004390106208764189,0.0004360727953848813,0.0004473211417469541
KLF16,0.0004932706221294042,0.0005033590088542263,0.00019776922150853055,0.00022226698673519777
KLF2,0.003879806534705688,0.002582277399059628,0.000986121651911599,0.0003066556180553405
KLF3,0.0022263579346310865,0.000903273471645722,0.001065367023521858,0.001346803985940048
KLF4,0.0012697012046233897,0.0015039401209121347,0.0015491448542243231,0.002268100349567033
KLF5,0.00034779970154136166,0.0003617101505012575,0.00033130270660003446,0.0003756486504379708
KLF6,0.008919958742231036,0.013978542043315518,0.009056560686913065,0.013237098966093505
KLF7,0.0009966779126465602,0.0014574125684363422,0.0008545841659107718,0.0007699472493905945
KLF9,0.003080425051596199,0.0016194504355432533,0.002838077437425424,0.0012397986547137878
KMT2A,0.0003510317351962714,0.0003302645448969146,0.0003939061316544288,0.00022927662063365844
LCOR,0.00023878866631895943,0.0002771887629470282,0.00028604071307931987,0.0003082102165532628
LCORL,0.0001959992857797748,0.000333877915323315,0.0002793673724193624,0.00013409772333402794
LEF1,0.006713137394209641,0.005214127879623764,0.003323073924792426,0.002382728117493583
LHX6,0.00012793576826490636,0.00011908282201159304,0.00013264477508652292,0.00012732775211174603
LHX8,0.0002662279585552664,0.00023858002486140244,0.0002313453211267595,0.0002772005513390754
LIN54,0.0007171313521486829,0.0002595907493873205,0.0012487948414287462,0.0005774546892650817
LYL1,0.0001050216696679404,0.00010866262091459076,0.0005666617621185011,0.00010975682379739525
MAF,0.0005695976354281776,0.0021885273395841724,0.0021025957849059983,0.002994473097738466
MAFA,0.0001788187757989777,0.00019249438491366415,0.00019960584204622257,0.00022016522936749868
MAFF,0.0011792139657433296,0.0014831710460352745,0.0018129996336796088,0.0008597189796194309
MAFG,0.00015150952022965176,0.0008177077620476803,0.0005437333700886732,0.0009234535561125834
MAX,0.0018151112366423493,0.0017375325532665374,0.00190656213241186,0.001111125369715675
MAZ,0.0013273382814889315,0.002112271717926805,0.0013172101401751103,0.0019188307710961384
MBD2,0.0002824879300267184,0.0010415534107801577,0.0002653818649799338,0.00026096639908824304
MBNL2,0.0006380499248391818,0.0005643940669599418,0.0004992257489316106,0.0001828009326016294
MECP2,0.0009540343192528612,0.0004954254282881062,0.000370748963393804,0.0006839404167633343
MEF2A,0.002321284994828757,0.002280079146936685,0.0005439948880441299,0.002156475030450241
MEF2B,0.000957536876786243,0.00025274340479682084,0.0002188245926182611,0.00020017926462181527
MEF2C,0.0011284279572909054,0.0025015244315029486,0.0026602501573542653,0.0005941892320830999
MEF2D,0.0028771369206990324,0.0026915541744422524,0.002424812770669501,0.002646974081672634
MEOX1,0.0002149981416383793,0.0010346474598395211,0.00040566904128197534,0.00011760880695579544
MGA,0.0011972559836401556,0.0008227445058955143,0.00039367733923547705,0.0005431697823787894
MLX,0.0014883117117004386,0.001058298181416759,0.0011942076031926816,0.001165263249802349
MLXIP,0.00018815216468318508,0.0002716325498771916,0.00013139176903101632,0.0001636288985157646
MTF1,0.00037000548864608,0.0008240820530769314,0.0005324712384134802,0.0007076463650265495
MTF2,0.000449368342953194,0.0008108289652904588,0.0003883460427243788,0.000967768348691669
MXD1,0.0001658249175555608,0.000274344027773795,0.0005357536280725071,0.0002764197122854035
MXI1,0.0013282233069330067,0.0001515992196497831,0.00013298400316127175,0.0003999990260831982
MYB,0.00025596511315984324,0.00020024846543816423,0.00023662117098926784,0.0004847695133464264
MYC,0.0007918453535377351,0.0005282461259647098,0.0009758617355108436,0.0007947978524248825
MYNN,0.0008280572924650955,0.000705646743804415,0.0006603611622963456,0.0006091334142018813
MYOD1,0.00015577651648383977,0.0001907241679367445,0.00015621903763450156,0.0002160585272214786
