	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
CEBPB	2.3164634726756189e-4	1.2139926227988255e-4	3.4296928334729755e-4	3.330370070136308e-4
CEBPD	1.6822075958345967e-4	1.15018558495039e-4	1.277169819964067e-4	1.3607115756436426e-4
CEBPE	1.6197291593356866e-4	9.308008375654998e-5	8.665756485264715e-5	6.697779841880849e-4
CEBPG	8.372629346987857e-4	4.330349740660676e-4	8.214507702839944e-4	1.2609329166953873e-3
CEBPZ	3.652523573926169e-4	2.9729535662083165e-4	4.5429103691922734e-4	4.2013556196986135e-4
CENPB	1.1610974442862874e-5	1.035087809800972e-5	4.500364630625567e-5	9.745294367777894e-6
CENPBD1	4.905022637922075e-5	1.3596783737485987e-5	1.4015836481654471e-5	1.9222929921328634e-5
CIC	4.4471228804395934e-4	1.3211844432985999e-3	8.541601002226715e-4	3.363645240720354e-4
CLOCK	1.0744922582214071e-4	3.870361382080235e-5	2.948921299263358e-4	4.4790589286694125e-5
CPEB1	1.615273591759498e-4	1.6910103824494023e-4	2.2435619411843388e-4	1.4059699832884526e-4
CREB1	1.945801331368581e-3	1.3148055558691572e-3	2.249920550859504e-3	1.3395287429803294e-3
CREB3	1.924220610895676e-3	1.1055630604198297e-3	4.087694551365077e-4	9.368129638359188e-4
CREB3L1	2.4565320848494364e-4	9.807539695200199e-5	1.0424376982016433e-4	1.077397561741564e-4
CREB3L2	7.802580498484924e-5	1.279520554886898e-4	1.2666968499918323e-4	1.2145581171078723e-4
CREB3L4	7.477504197895017e-4	7.742791666462106e-5	7.996268890478095e-5	7.661355882458806e-5
CREB5	7.356599986658673e-5	4.305311461256419e-5	5.064316978594172e-5	7.008048265620662e-5
CREBL2	9.536816451791334e-5	1.1060383725800186e-4	9.280820306106934e-5	9.286483742506967e-5
CREBZF	2.442387431411497e-4	2.2657756416963418e-4	1.8960868759320364e-4	1.3004881513948706e-4
CREM	2.4866529093415662e-3	1.9525371530323523e-3	3.916464557658534e-3	2.9237240107799923e-3
CRX	1.9316120536647558e-4	3.10956553279316e-4	2.1769346765832692e-4	9.456829895144917e-5
CTCF	6.730792594223639e-3	7.491393933108761e-3	8.884229204035352e-3	4.962014301971346e-3
CTCFL	1.8991506010219208e-4	4.989315724165254e-4	1.9631751868658598e-4	2.1837144446497538e-4
CUX1	8.566233132186573e-4	1.723309530887538e-3	1.4703550100853943e-3	1.7732484162871684e-3
CUX2	2.2110179639210384e-5	1.6918805905468732e-5	2.1081631784867867e-5	1.2199136638906777e-4
CXXC1	7.635785037310568e-4	3.7391067250787e-4	7.492341750763972e-4	6.13744450865823e-4
CXXC4	1.8351726091508395e-5	1.6162277992021528e-5	1.6859096495377785e-5	2.2633230408230335e-5
CXXC5	2.312740743869359e-4	4.7521437159150745e-5	6.373070019717212e-5	6.698086024218433e-5
DBP	5.429714528303284e-4	1.3536491433043768e-3	1.6264837729612156e-4	1.1576679718342867e-3
DBX1	1.189186144602053e-4	7.552005325786738e-5	9.50350417624899e-5	9.568246833564103e-5
DBX2	6.832768403981653e-5	7.045553250107675e-5	8.892127292276856e-5	6.111681562564485e-5
DDIT3	1.0084555236566376e-4	7.324954139947671e-5	8.729703267613837e-5	1.5988336853515447e-4
DLX1	8.151754796071147e-5	7.862022630089399e-5	8.531543162741372e-5	7.172872606800997e-5
DLX2	9.495586750404282e-5	8.540541270810722e-5	9.446902828967236e-5	8.452447916213715e-5
DLX3	2.003235482245321e-4	1.7365686097659528e-4	1.9810476664905316e-4	1.6350954731982786e-4
DLX4	1.3550770178863539e-4	1.1900764745778504e-4	1.5135674043568743e-4	1.146097101949842e-4
DLX5	9.072430493023369e-5	8.718327167024279e-5	9.760200434239533e-5	8.238108856729136e-5
DLX6	8.430002772960721e-5	7.691964391417285e-5	8.940168548318524e-5	7.009848938678544e-5
DMBX1	4.577448371881718e-5	9.343251683631994e-5	1.7048972850802237e-4	4.87035360991617e-5
DMRT1	1.259395102334861e-4	6.60016438927238e-5	8.549956155589153e-5	7.482335186471148e-5
DMRT2	1.2823138248781022e-4	1.1203266999291214e-4	1.3789205644307163e-4	1.1597036957103495e-4
DMRT3	9.895419448884818e-5	5.812435969994095e-5	6.930042528615917e-5	6.0832102034491116e-5
DMRTA1	1.554318603087224e-4	8.777606210537249e-5	1.0331438861640256e-4	8.903167507241707e-5
DMRTA2	9.846781787859743e-5	4.9324331239672156e-5	6.698694298003246e-5	5.87534017015647e-5
DMRTB1	7.466791389655957e-5	8.131416074331178e-5	8.583933107485076e-5	7.164141873053287e-5
DMRTC2	1.2972661339519213e-4	9.136096611218322e-5	9.538949163055847e-5	9.177041650183318e-5
DNMT1	5.22091171468849e-4	5.63787684466738e-4	6.348661237973213e-4	5.965818908792636e-4
DNTTIP1	5.081904748755085e-5	4.2370985716401775e-5	5.25899137061386e-5	4.943759659438397e-5
DPF1	4.2872476406061246e-5	3.178022931611453e-5	5.054106923851628e-5	3.4411429218956316e-5
DPF3	4.0010982640190054e-5	2.8930753200344914e-5	4.7570195220319585e-5	3.159284715493323e-5
DPRX	3.084523545573675e-5	4.7545824248333425e-5	4.9399312601632926e-5	4.5566350008658934e-5
DRGX	9.99405398048837e-5	8.606455939145175e-5	8.688413594308658e-5	8.09315959480628e-5
DUX1_HUMAN	1.6314416766509372e-5	1.6418420680989072e-5	1.6317193332394147e-5	1.722130387236621e-5
DUX3_HUMAN	1.4305656042027609e-5	1.3399521379218604e-5	1.1796446528919499e-5	1.5594117220840544e-5
DUX4	8.923031967877165e-5	6.954339112233962e-5	9.995962851867922e-5	8.50004145232944e-5
DUXA	1.0190839025913038e-4	9.172096277700963e-5	9.760546327361658e-5	1.0065767945437217e-4
E2F1	1.2408785042701233e-4	3.4178733928642326e-4	1.3248410702833063e-4	1.0238515157428973e-4
E2F2	1.8426306514966972e-4	1.7957149290413185e-4	4.397366796450335e-5	4.895140594027838e-5
E2F3	5.517169861386051e-4	4.287293049823314e-4	5.773630623616176e-4	2.6854158356988015e-4
E2F4	1.4923403646842034e-3	1.6891970635500926e-3	1.1597002273076478e-3	1.270607654398283e-4
E2F5	2.2306668944555503e-5	2.6821253273291635e-5	2.3015790224959826e-4	2.26934421108147e-5
E2F6	7.495508810564539e-4	6.30996785155167e-4	3.0628025228367033e-4	1.5000256815042551e-4
E2F7	5.19882997477727e-5	3.980805785259042e-4	6.0419078301542244e-5	4.844736238572628e-5
E2F8	1.2101511043593162e-4	5.898915464526599e-4	5.240163202627707e-5	4.824886957855147e-5
E4F1	1.7626477759992692e-4	1.7007281402313667e-4	9.743724172187579e-5	1.6358113099935697e-4
EBF1	8.129922846346519e-4	8.103760185397448e-4	1.8317165351836297e-4	9.186505670371764e-4
EBF2	2.5030086839316394e-5	2.0379695407454862e-5	1.7723195028886527e-5	3.887774263830351e-5
EBF3	4.2647528948226975e-5	4.5756874121316956e-5	6.27791916867285e-5	6.375869628075988e-5
EBF4	1.8946054753157667e-5	1.3984631037845937e-5	1.4281832908960261e-5	1.6202547096024752e-5
