	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
CEBPB	1.6431714913365072e-4	9.493255320783926e-5	3.113825061445886e-4	2.656004478053488e-4
CEBPD	1.2383466085549258e-4	9.650723678324125e-5	1.0964717165504035e-4	1.1840892578090227e-4
CEBPE	1.155042438049085e-4	7.120983387140869e-5	6.93187862018151e-5	5.896442901611174e-4
CEBPG	5.425030683013957e-4	2.750411623094144e-4	7.497998329558553e-4	8.533453788678142e-4
CEBPZ	3.147098620732918e-4	3.600812828345362e-4	2.618121944628621e-4	3.3757830025462764e-4
CENPB	2.1343917052328215e-5	1.8380489779340606e-5	5.518482615077101e-5	1.8111000460684903e-5
CENPBD1	4.2926969111276784e-5	1.3161360488465438e-5	1.1466521299218871e-5	1.2972504325155644e-5
CIC	3.479922494266733e-4	5.442204848562762e-4	3.64997567959047e-4	2.593291597556004e-4
CLOCK	6.993227554567453e-5	2.74910699021414e-5	3.4266024743028693e-4	3.9821755055937394e-5
CPEB1	1.2699320519457546e-4	1.0749835336081642e-4	1.1872867998164763e-4	1.256431578243881e-4
CREB1	1.9018290351742995e-3	1.7643732197988394e-3	2.69964033188859e-3	1.3929962025274476e-3
CREB3	1.3802609210544297e-3	1.0152646538194306e-3	4.8573556109270826e-4	8.807442098767484e-4
CREB3L1	2.732718690597923e-4	1.0914345683630259e-4	1.285988726465164e-4	1.1587099122155938e-4
CREB3L2	1.0774669125017072e-4	1.7165954755925272e-4	1.5204153174950066e-4	1.403201579795771e-4
CREB3L4	5.342630942407863e-4	7.655198880218166e-5	1.0083910250746893e-4	7.949368271082565e-5
CREB5	5.1951801049140856e-5	3.87001228847197e-5	4.967232207489724e-5	4.4163914052540624e-5
CREBL2	7.753643102870216e-5	9.98191829832397e-5	7.09460131078862e-5	5.414452309511315e-5
CREBZF	1.7562762950517946e-4	2.7598825767036287e-4	3.63953088344808e-4	1.5094534810893964e-4
CREM	1.7967679262812877e-3	2.291926124782693e-3	3.657220000516328e-3	2.6144109507397527e-3
CRX	1.0276782119640359e-4	3.004139199130804e-4	1.4758923588106931e-4	6.737588244254938e-5
CTCF	5.444109484068482e-3	7.154708981566815e-3	8.80212438372225e-3	4.62922443411228e-3
CTCFL	1.469109203112616e-4	4.2881317697320644e-4	2.0615122714200097e-4	1.9216268993631192e-4
CUX1	7.850991885009729e-4	1.5247249396960645e-3	1.3765250112074876e-3	1.7611690665787932e-3
CUX2	1.731766869820111e-5	1.7237729643112237e-5	1.7461082235970367e-5	1.3723361086001503e-4
CXXC1	8.469882604867657e-4	2.7984108484272445e-4	5.990124860139612e-4	4.771531477487371e-4
CXXC4	2.2952292195725636e-5	1.5043365819573438e-5	1.6385786892796e-5	2.0612534943667405e-5
CXXC5	2.3503050996049655e-4	2.9147869901968707e-5	4.906469038701511e-5	5.520103495025284e-5
DBP	4.556277240338159e-4	1.0696887767117737e-3	1.4753089036294225e-4	8.738187394296341e-4
DBX1	7.235497786566358e-5	8.677205301693163e-5	8.040854440239151e-5	7.39644439035493e-5
DBX2	5.1521821179105845e-5	4.038106955766469e-5	4.6276188294001405e-5	5.456929103373239e-5
DDIT3	8.357667226290165e-5	8.074626205399179e-5	5.5343927747117074e-5	1.2388923738332398e-4
DLX1	4.9739627913841696e-5	4.164239055044937e-5	4.625791857781971e-5	5.181331422553052e-5
DLX2	5.468463607749267e-5	4.784473747226678e-5	5.4864659948020624e-5	6.15997272150853e-5
DLX3	1.487073719528387e-4	1.3101276958462992e-4	1.3400620023753588e-4	1.429236510517697e-4
DLX4	8.678454643519249e-5	6.769990505927575e-5	8.023779892836941e-5	8.489268798222215e-5
DLX5	6.160192482288916e-5	5.035531428347215e-5	5.6552531464696955e-5	6.306693224402481e-5
DLX6	5.206182648718099e-5	4.222424975238539e-5	4.8497633329504034e-5	5.3442156036708654e-5
DMBX1	2.872870459011243e-5	1.0321075341250717e-4	1.1851225169619806e-4	3.676914927813235e-5
