	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
CXXC5	7.6975709887106e-4	0.17250340831629174	3.170347674369123e-2	2.285889785889783e-2
DBP	0.0	0.0	4.808715264479346e-3	0.0
DBX1	2.4803284296954775e-3	1.8490115882753955e-2	1.0383420571088098e-2	8.994383994384014e-3
DBX2	1.2016763599042135e-2	2.168541240627131e-2	1.1830290650665987e-2	3.637241137241132e-2
DDIT3	3.7204926445433273e-3	1.9512610770279437e-2	1.251117068811436e-2	3.992628992628977e-3
DLX1	6.713992473486141e-3	1.716939331970002e-2	1.3064385718541183e-2	1.7637767637767587e-2
DLX2	4.27642832706121e-3	1.4911383776414433e-2	1.0511085578109758e-2	1.1363636363636354e-2
DLX3	1.1546356483065345e-3	4.302999318336775e-3	2.680965147453085e-3	3.8610038610038533e-3
DLX4	2.009921313718799e-3	8.307770961145211e-3	5.149155283203588e-3	6.844506844506881e-3
DLX5	5.1317139924734745e-3	1.4059304703476494e-2	1.000042555002345e-2	1.2109512109512055e-2
DLX6	5.986999657885739e-3	1.7851056578050417e-2	1.1617515638963405e-2	1.9305019305019266e-2
DMBX1	0.2570988710229216	1.2397750511247474e-2	4.383165241074072e-3	0.18054580554580557
DMRT1	2.223742730071865e-3	2.6329243353783283e-2	1.3064385718541183e-2	1.5531765531765496e-2
DMRT2	2.1382141635306606e-3	9.372869802317663e-3	5.787480318311444e-3	6.625131625131675e-3
DMRT3	3.8915497776257357e-3	4.520279481935918e-2	2.29797012638836e-2	3.6986661986662006e-2
DMRTA1	1.6250427642833243e-3	1.3931492842535809e-2	9.191880505553418e-3	1.0354510354510404e-2
DMRTA2	3.934314060896393e-3	0.1324130879345603	2.6001106430060816e-2	4.527904527904525e-2
DMRTB1	8.552856654122531e-3	1.589127471029317e-2	1.2936720711519634e-2	1.768164268164263e-2
DMRTC2	2.0526855969893454e-3	1.2866394001363357e-2	1.0383420571088098e-2	9.389259389259386e-3
DNMT1	0.0	0.0	0.0	0.0
DNTTIP1	0.11298323640095786	0.3628578732106339	9.408911017490107e-2	0.16080203580203578
DPF1	0.3906944919603147	0.9452113156100886	0.12396272181794965	0.9103194103194103
DPF3	0.567524803284297	0.9888377641445126	0.18643346525384064	0.9763952263952264
DPRX	0.9861871365035922	0.171992160872529	0.14472956296012596	0.2863724113724113
DRGX	3.848785494355078e-3	1.4570552147239235e-2	1.2638835695135908e-2	1.2636012636012661e-2
DUX1_HUMAN	1.0	1.0	1.0	1.0
DUX3_HUMAN	1.0	1.0	1.0	1.0
DUX4	5.217242559014679e-3	2.245228357191542e-2	9.574875526618176e-3	1.123201123201123e-2
DUXA	3.549435511460808e-3	1.2738582140422672e-2	1.000042555002345e-2	8.292383292383243e-3
