	Naive	Naive	Naive	Naive	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	GC	GC	GC	GC
ARNT2	1.2157446394816374e-4	1.2157446394816374e-4	1.2157446394816374e-4	1.2157446394816374e-4	1.0103038865614075e-4	1.0103038865614075e-4	1.0103038865614075e-4	1.0103038865614075e-4	2.797055615639987e-5	2.797055615639987e-5	2.797055615639987e-5	2.797055615639987e-5	3.194005149189435e-5	3.194005149189435e-5	3.194005149189435e-5	3.194005149189435e-5
ARNTL	5.060131579682405e-4	5.060131579682405e-4	5.060131579682405e-4	5.060131579682405e-4	2.631349668565273e-4	2.631349668565273e-4	2.631349668565273e-4	2.631349668565273e-4	3.430341568161379e-4	3.430341568161379e-4	3.430341568161379e-4	3.430341568161379e-4	4.7288886449614235e-4	4.7288886449614235e-4	4.7288886449614235e-4	4.7288886449614235e-4
ARX	2.5903044494099915e-5	2.5903044494099915e-5	2.5903044494099915e-5	2.5903044494099915e-5	6.203865414899806e-5	6.203865414899806e-5	6.203865414899806e-5	6.203865414899806e-5	2.566035284455446e-5	2.566035284455446e-5	2.566035284455446e-5	2.566035284455446e-5	3.6913296054955e-5	3.6913296054955e-5	3.6913296054955e-5	3.6913296054955e-5
ASCL1	2.0379077690860142e-4	2.0379077690860142e-4	2.0379077690860142e-4	2.0379077690860142e-4	2.5200534250889605e-4	2.5200534250889605e-4	2.5200534250889605e-4	2.5200534250889605e-4	1.4273956500443188e-4	1.4273956500443188e-4	1.4273956500443188e-4	1.4273956500443188e-4	2.5248141349898986e-4	2.5248141349898986e-4	2.5248141349898986e-4	2.5248141349898986e-4
ASCL2	4.560343851741023e-5	4.560343851741023e-5	4.560343851741023e-5	4.560343851741023e-5	8.278017061196552e-5	8.278017061196552e-5	8.278017061196552e-5	8.278017061196552e-5	3.583010448780296e-5	3.583010448780296e-5	3.583010448780296e-5	3.583010448780296e-5	5.016235479108859e-4	5.016235479108859e-4	5.016235479108859e-4	5.016235479108859e-4
ATF1	1.8850063882065514e-3	1.8850063882065514e-3	1.8850063882065514e-3	1.8850063882065514e-3	1.462055185528018e-3	1.462055185528018e-3	1.462055185528018e-3	1.462055185528018e-3	9.84713293691672e-4	9.84713293691672e-4	9.84713293691672e-4	9.84713293691672e-4	1.5043259900704214e-3	1.5043259900704214e-3	1.5043259900704214e-3	1.5043259900704214e-3
ATF2	1.0833447226049702e-3	1.0833447226049702e-3	1.0833447226049702e-3	1.0833447226049702e-3	6.41188046148087e-4	6.41188046148087e-4	6.41188046148087e-4	6.41188046148087e-4	7.529923746249356e-4	7.529923746249356e-4	7.529923746249356e-4	7.529923746249356e-4	2.161797962829118e-3	2.161797962829118e-3	2.161797962829118e-3	2.161797962829118e-3
ATF3	4.1020759474890795e-3	4.1020759474890795e-3	4.1020759474890795e-3	4.1020759474890795e-3	6.710255433577552e-3	6.710255433577552e-3	6.710255433577552e-3	6.710255433577552e-3	2.8843510375198135e-3	2.8843510375198135e-3	2.8843510375198135e-3	2.8843510375198135e-3	4.465964624154121e-3	4.465964624154121e-3	4.465964624154121e-3	4.465964624154121e-3
ATF4	3.810589650771812e-3	3.810589650771812e-3	3.810589650771812e-3	3.810589650771812e-3	2.0222129513655313e-3	2.0222129513655313e-3	2.0222129513655313e-3	2.0222129513655313e-3	1.5491710575006163e-3	1.5491710575006163e-3	1.5491710575006163e-3	1.5491710575006163e-3	3.0078258345616975e-3	3.0078258345616975e-3	3.0078258345616975e-3	3.0078258345616975e-3
ATF5	7.255453532494587e-5	7.255453532494587e-5	7.255453532494587e-5	7.255453532494587e-5	4.425576790142713e-5	4.425576790142713e-5	4.425576790142713e-5	4.425576790142713e-5	2.812928619506791e-5	2.812928619506791e-5	2.812928619506791e-5	2.812928619506791e-5	3.141725944232124e-5	3.141725944232124e-5	3.141725944232124e-5	3.141725944232124e-5
ATF6	1.8747610804478504e-3	1.8747610804478504e-3	1.8747610804478504e-3	1.8747610804478504e-3	1.430801121432312e-3	1.430801121432312e-3	1.430801121432312e-3	1.430801121432312e-3	1.610857064923982e-3	1.610857064923982e-3	1.610857064923982e-3	1.610857064923982e-3	1.8173073044072544e-3	1.8173073044072544e-3	1.8173073044072544e-3	1.8173073044072544e-3
ATF6B	4.2115133121349855e-3	4.2115133121349855e-3	4.2115133121349855e-3	4.2115133121349855e-3	2.0245307297207535e-3	2.0245307297207535e-3	2.0245307297207535e-3	2.0245307297207535e-3	4.232868491818211e-3	4.232868491818211e-3	4.232868491818211e-3	4.232868491818211e-3	4.231317605140473e-3	4.231317605140473e-3	4.231317605140473e-3	4.231317605140473e-3
ATF7	9.440869364869718e-4	9.440869364869718e-4	9.440869364869718e-4	9.440869364869718e-4	6.043608402543425e-4	6.043608402543425e-4	6.043608402543425e-4	6.043608402543425e-4	5.520224163056379e-4	5.520224163056379e-4	5.520224163056379e-4	5.520224163056379e-4	8.322660037387938e-4	8.322660037387938e-4	8.322660037387938e-4	8.322660037387938e-4
ATOH1	1.1133558820748714e-4	1.1133558820748714e-4	1.1133558820748714e-4	1.1133558820748714e-4	1.6993984847468485e-4	1.6993984847468485e-4	1.6993984847468485e-4	1.6993984847468485e-4	1.0737949092891029e-4	1.0737949092891029e-4	1.0737949092891029e-4	1.0737949092891029e-4	1.3866167626432621e-4	1.3866167626432621e-4	1.3866167626432621e-4	1.3866167626432621e-4
ATOH7	1.9666733389796393e-5	1.9666733389796393e-5	1.9666733389796393e-5	1.9666733389796393e-5	4.138528030814039e-5	4.138528030814039e-5	4.138528030814039e-5	4.138528030814039e-5	2.030639406896863e-5	2.030639406896863e-5	2.030639406896863e-5	2.030639406896863e-5	1.947532967448611e-5	1.947532967448611e-5	1.947532967448611e-5	1.947532967448611e-5
BACH1	3.3513933191405194e-4	3.3513933191405194e-4	3.3513933191405194e-4	3.3513933191405194e-4	1.2492114678333275e-3	1.2492114678333275e-3	1.2492114678333275e-3	1.2492114678333275e-3	9.227663816298852e-4	9.227663816298852e-4	9.227663816298852e-4	9.227663816298852e-4	1.6202464115803667e-3	1.6202464115803667e-3	1.6202464115803667e-3	1.6202464115803667e-3
