	Naive	Naive	Naive	Naive	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	GC	GC	GC	GC
HIF1A	2.0059024903431558e-3	2.0059024903431558e-3	2.0059024903431558e-3	2.0059024903431558e-3	2.895752920250855e-3	2.895752920250855e-3	2.895752920250855e-3	2.895752920250855e-3	2.7851045632425317e-3	2.7851045632425317e-3	2.7851045632425317e-3	2.7851045632425317e-3	1.9836500712092473e-3	1.9836500712092473e-3	1.9836500712092473e-3	1.9836500712092473e-3
HIF3A	2.2312781603355293e-5	2.2312781603355293e-5	2.2312781603355293e-5	2.2312781603355293e-5	4.848266891467925e-5	4.848266891467925e-5	4.848266891467925e-5	4.848266891467925e-5	1.8293491838950414e-4	1.8293491838950414e-4	1.8293491838950414e-4	1.8293491838950414e-4	1.1782220489866361e-4	1.1782220489866361e-4	1.1782220489866361e-4	1.1782220489866361e-4
HINFP	3.319248999533567e-4	3.319248999533567e-4	3.319248999533567e-4	3.319248999533567e-4	9.167341304623779e-4	9.167341304623779e-4	9.167341304623779e-4	9.167341304623779e-4	5.332582930776961e-4	5.332582930776961e-4	5.332582930776961e-4	5.332582930776961e-4	3.8935001692780145e-4	3.8935001692780145e-4	3.8935001692780145e-4	3.8935001692780145e-4
HIVEP1	2.834960677086672e-4	2.834960677086672e-4	2.834960677086672e-4	2.834960677086672e-4	6.0594285657761066e-5	6.0594285657761066e-5	6.0594285657761066e-5	6.0594285657761066e-5	3.7769112567732585e-4	3.7769112567732585e-4	3.7769112567732585e-4	3.7769112567732585e-4	2.3126356426494434e-4	2.3126356426494434e-4	2.3126356426494434e-4	2.3126356426494434e-4
HIVEP2	6.2369337688554e-4	6.2369337688554e-4	6.2369337688554e-4	6.2369337688554e-4	4.0133824223724404e-4	4.0133824223724404e-4	4.0133824223724404e-4	4.0133824223724404e-4	1.0580037001988868e-3	1.0580037001988868e-3	1.0580037001988868e-3	1.0580037001988868e-3	8.544039020060889e-4	8.544039020060889e-4	8.544039020060889e-4	8.544039020060889e-4
HIVEP3	2.3194117833529878e-4	2.3194117833529878e-4	2.3194117833529878e-4	2.3194117833529878e-4	1.202711878476413e-4	1.202711878476413e-4	1.202711878476413e-4	1.202711878476413e-4	1.468596442767358e-4	1.468596442767358e-4	1.468596442767358e-4	1.468596442767358e-4	1.902472530132129e-4	1.902472530132129e-4	1.902472530132129e-4	1.902472530132129e-4
HKR1	1.0138297342670143e-4	1.0138297342670143e-4	1.0138297342670143e-4	1.0138297342670143e-4	1.0116421572767034e-4	1.0116421572767034e-4	1.0116421572767034e-4	1.0116421572767034e-4	9.554989658685656e-5	9.554989658685656e-5	9.554989658685656e-5	9.554989658685656e-5	9.449244563261415e-5	9.449244563261415e-5	9.449244563261415e-5	9.449244563261415e-5
HLF	4.1456870345506403e-5	4.1456870345506403e-5	4.1456870345506403e-5	4.1456870345506403e-5	7.046955763440032e-5	7.046955763440032e-5	7.046955763440032e-5	7.046955763440032e-5	3.0396134838904424e-5	3.0396134838904424e-5	3.0396134838904424e-5	3.0396134838904424e-5	4.678490015871331e-5	4.678490015871331e-5	4.678490015871331e-5	4.678490015871331e-5
HLX	1.8187315830339062e-5	1.8187315830339062e-5	1.8187315830339062e-5	1.8187315830339062e-5	4.254309764148392e-5	4.254309764148392e-5	4.254309764148392e-5	4.254309764148392e-5	1.54431020889908e-5	1.54431020889908e-5	1.54431020889908e-5	1.54431020889908e-5	2.6046224746335384e-5	2.6046224746335384e-5	2.6046224746335384e-5	2.6046224746335384e-5
HMBOX1	8.286416992017859e-5	8.286416992017859e-5	8.286416992017859e-5	8.286416992017859e-5	1.6572739829112746e-4	1.6572739829112746e-4	1.6572739829112746e-4	1.6572739829112746e-4	4.86309040840537e-5	4.86309040840537e-5	4.86309040840537e-5	4.86309040840537e-5	5.4009533868366206e-5	5.4009533868366206e-5	5.4009533868366206e-5	5.4009533868366206e-5
HMG20A	6.457396581722977e-5	6.457396581722977e-5	6.457396581722977e-5	6.457396581722977e-5	4.989775649985781e-5	4.989775649985781e-5	4.989775649985781e-5	4.989775649985781e-5	8.556909830946759e-5	8.556909830946759e-5	8.556909830946759e-5	8.556909830946759e-5	1.4922233280349124e-4	1.4922233280349124e-4	1.4922233280349124e-4	1.4922233280349124e-4
HMG20B	7.253389019236326e-5	7.253389019236326e-5	7.253389019236326e-5	7.253389019236326e-5	4.472979477553299e-5	4.472979477553299e-5	4.472979477553299e-5	4.472979477553299e-5	5.9042439423107325e-5	5.9042439423107325e-5	5.9042439423107325e-5	5.9042439423107325e-5	1.1631718815195644e-4	1.1631718815195644e-4	1.1631718815195644e-4	1.1631718815195644e-4
HMGA1	2.19059624984302e-3	2.19059624984302e-3	2.19059624984302e-3	2.19059624984302e-3	1.0795073165656252e-3	1.0795073165656252e-3	1.0795073165656252e-3	1.0795073165656252e-3	2.0608565953026425e-3	2.0608565953026425e-3	2.0608565953026425e-3	2.0608565953026425e-3	3.2571189014641514e-3	3.2571189014641514e-3	3.2571189014641514e-3	3.2571189014641514e-3
HMGA2	1.771406584377559e-5	1.771406584377559e-5	1.771406584377559e-5	1.771406584377559e-5	4.0937151440152585e-5	4.0937151440152585e-5	4.0937151440152585e-5	4.0937151440152585e-5	1.5458087762773523e-5	1.5458087762773523e-5	1.5458087762773523e-5	1.5458087762773523e-5	1.760197885213894e-5	1.760197885213894e-5	1.760197885213894e-5	1.760197885213894e-5
HMX1	2.8954909260060264e-5	2.8954909260060264e-5	2.8954909260060264e-5	2.8954909260060264e-5	5.056928243715167e-5	5.056928243715167e-5	5.056928243715167e-5	5.056928243715167e-5	2.4518742309103255e-5	2.4518742309103255e-5	2.4518742309103255e-5	2.4518742309103255e-5	3.8923887268813413e-5	3.8923887268813413e-5	3.8923887268813413e-5	3.8923887268813413e-5
HMX2	3.036602584195424e-5	3.036602584195424e-5	3.036602584195424e-5	3.036602584195424e-5	4.806054075307351e-5	4.806054075307351e-5	4.806054075307351e-5	4.806054075307351e-5	2.5116805718133286e-5	2.5116805718133286e-5	2.5116805718133286e-5	2.5116805718133286e-5	3.4691399006241076e-5	3.4691399006241076e-5	3.4691399006241076e-5	3.4691399006241076e-5
HMX3	2.8094431713528173e-5	2.8094431713528173e-5	2.8094431713528173e-5	2.8094431713528173e-5	4.0831751426265994e-5	4.0831751426265994e-5	4.0831751426265994e-5	4.0831751426265994e-5	2.7669010709585842e-5	2.7669010709585842e-5	2.7669010709585842e-5	2.7669010709585842e-5	3.310973606306425e-5	3.310973606306425e-5	3.310973606306425e-5	3.310973606306425e-5
HNF1A	6.524579353513509e-5	6.524579353513509e-5	6.524579353513509e-5	6.524579353513509e-5	5.880864136434829e-5	5.880864136434829e-5	5.880864136434829e-5	5.880864136434829e-5	3.577429433294147e-5	3.577429433294147e-5	3.577429433294147e-5	3.577429433294147e-5	3.5812649635286824e-5	3.5812649635286824e-5	3.5812649635286824e-5	3.5812649635286824e-5
HNF1B	3.318730554131834e-5	3.318730554131834e-5	3.318730554131834e-5	3.318730554131834e-5	5.426264376734971e-5	5.426264376734971e-5	5.426264376734971e-5	5.426264376734971e-5	3.0419475386456933e-5	3.0419475386456933e-5	3.0419475386456933e-5	3.0419475386456933e-5	3.4099054281775845e-5	3.4099054281775845e-5	3.4099054281775845e-5	3.4099054281775845e-5
HNF4A	6.34672495568825e-5	6.34672495568825e-5	6.34672495568825e-5	6.34672495568825e-5	2.1898153336802686e-4	2.1898153336802686e-4	2.1898153336802686e-4	2.1898153336802686e-4	7.479837718432887e-5	7.479837718432887e-5	7.479837718432887e-5	7.479837718432887e-5	8.76928403186473e-5	8.76928403186473e-5	8.76928403186473e-5	8.76928403186473e-5
HNF4G	4.278511115126628e-5	4.278511115126628e-5	4.278511115126628e-5	4.278511115126628e-5	5.2652009725467864e-5	5.2652009725467864e-5	5.2652009725467864e-5	5.2652009725467864e-5	3.625910603006452e-5	3.625910603006452e-5	3.625910603006452e-5	3.625910603006452e-5	5.252659484547589e-5	5.252659484547589e-5	5.252659484547589e-5	5.252659484547589e-5
HOMEZ	4.013680601216016e-5	4.013680601216016e-5	4.013680601216016e-5	4.013680601216016e-5	4.331186797138505e-5	4.331186797138505e-5	4.331186797138505e-5	4.331186797138505e-5	1.923371041180046e-5	1.923371041180046e-5	1.923371041180046e-5	1.923371041180046e-5	1.7669691670059785e-5	1.7669691670059785e-5	1.7669691670059785e-5	1.7669691670059785e-5
HOXA1	2.510295595053831e-5	2.510295595053831e-5	2.510295595053831e-5	2.510295595053831e-5	4.176719516766163e-5	4.176719516766163e-5	4.176719516766163e-5	4.176719516766163e-5	2.8812230574984684e-5	2.8812230574984684e-5	2.8812230574984684e-5	2.8812230574984684e-5	1.7273376523345755e-5	1.7273376523345755e-5	1.7273376523345755e-5	1.7273376523345755e-5
HOXA10	3.15898668994917e-5	3.15898668994917e-5	3.15898668994917e-5	3.15898668994917e-5	4.822552824730771e-5	4.822552824730771e-5	4.822552824730771e-5	4.822552824730771e-5	2.0965875200299314e-5	2.0965875200299314e-5	2.0965875200299314e-5	2.0965875200299314e-5	3.335974833331852e-5	3.335974833331852e-5	3.335974833331852e-5	3.335974833331852e-5
HOXA11	2.7403362734497785e-5	2.7403362734497785e-5	2.7403362734497785e-5	2.7403362734497785e-5	5.099113871660072e-5	5.099113871660072e-5	5.099113871660072e-5	5.099113871660072e-5	1.9961950978791978e-5	1.9961950978791978e-5	1.9961950978791978e-5	1.9961950978791978e-5	3.217265102900038e-5	3.217265102900038e-5	3.217265102900038e-5	3.217265102900038e-5
HOXA13	8.396625589119153e-5	8.396625589119153e-5	8.396625589119153e-5	8.396625589119153e-5	8.012868103021923e-5	8.012868103021923e-5	8.012868103021923e-5	8.012868103021923e-5	5.5323438657763154e-5	5.5323438657763154e-5	5.5323438657763154e-5	5.5323438657763154e-5	1.2385838138565566e-4	1.2385838138565566e-4	1.2385838138565566e-4	1.2385838138565566e-4
HOXA2	3.405381995064706e-4	3.405381995064706e-4	3.405381995064706e-4	3.405381995064706e-4	6.447830957223968e-5	6.447830957223968e-5	6.447830957223968e-5	6.447830957223968e-5	2.1975861316498463e-5	2.1975861316498463e-5	2.1975861316498463e-5	2.1975861316498463e-5	3.347945704713409e-5	3.347945704713409e-5	3.347945704713409e-5	3.347945704713409e-5
HOXA3	1.982962574378539e-5	1.982962574378539e-5	1.982962574378539e-5	1.982962574378539e-5	4.294255727005319e-5	4.294255727005319e-5	4.294255727005319e-5	4.294255727005319e-5	2.1514217297431687e-5	2.1514217297431687e-5	2.1514217297431687e-5	2.1514217297431687e-5	1.5494113539888386e-5	1.5494113539888386e-5	1.5494113539888386e-5	1.5494113539888386e-5
HOXA4	2.8069863395320887e-5	2.8069863395320887e-5	2.8069863395320887e-5	2.8069863395320887e-5	6.0791729897158563e-5	6.0791729897158563e-5	6.0791729897158563e-5	6.0791729897158563e-5	1.951351088724884e-5	1.951351088724884e-5	1.951351088724884e-5	1.951351088724884e-5	3.930033157962983e-5	3.930033157962983e-5	3.930033157962983e-5	3.930033157962983e-5
HOXA5	5.75011825380566e-5	5.75011825380566e-5	5.75011825380566e-5	5.75011825380566e-5	5.9687904444588125e-5	5.9687904444588125e-5	5.9687904444588125e-5	5.9687904444588125e-5	2.123141896360311e-5	2.123141896360311e-5	2.123141896360311e-5	2.123141896360311e-5	3.1736516221267334e-5	3.1736516221267334e-5	3.1736516221267334e-5	3.1736516221267334e-5
HOXA6	2.0331331173778405e-5	2.0331331173778405e-5	2.0331331173778405e-5	2.0331331173778405e-5	3.9083609557484896e-5	3.9083609557484896e-5	3.9083609557484896e-5	3.9083609557484896e-5	1.535607428957732e-5	1.535607428957732e-5	1.535607428957732e-5	1.535607428957732e-5	1.528097810194999e-5	1.528097810194999e-5	1.528097810194999e-5	1.528097810194999e-5
HOXA7	3.987271820851931e-4	3.987271820851931e-4	3.987271820851931e-4	3.987271820851931e-4	4.694122121433593e-5	4.694122121433593e-5	4.694122121433593e-5	4.694122121433593e-5	1.754138893079023e-5	1.754138893079023e-5	1.754138893079023e-5	1.754138893079023e-5	2.3881549892366526e-5	2.3881549892366526e-5	2.3881549892366526e-5	2.3881549892366526e-5
HOXA9	6.80636439313279e-5	6.80636439313279e-5	6.80636439313279e-5	6.80636439313279e-5	7.75503226409852e-5	7.75503226409852e-5	7.75503226409852e-5	7.75503226409852e-5	6.033076104426441e-5	6.033076104426441e-5	6.033076104426441e-5	6.033076104426441e-5	8.428841622056838e-5	8.428841622056838e-5	8.428841622056838e-5	8.428841622056838e-5
HOXB1	2.1325022232536128e-5	2.1325022232536128e-5	2.1325022232536128e-5	2.1325022232536128e-5	6.856896346123827e-5	6.856896346123827e-5	6.856896346123827e-5	6.856896346123827e-5	2.7024689290531504e-5	2.7024689290531504e-5	2.7024689290531504e-5	2.7024689290531504e-5	1.802464054987633e-5	1.802464054987633e-5	1.802464054987633e-5	1.802464054987633e-5
HOXB13	6.108641160839863e-5	6.108641160839863e-5	6.108641160839863e-5	6.108641160839863e-5	6.548991689745599e-5	6.548991689745599e-5	6.548991689745599e-5	6.548991689745599e-5	4.021826415668907e-5	4.021826415668907e-5	4.021826415668907e-5	4.021826415668907e-5	6.863126247413821e-5	6.863126247413821e-5	6.863126247413821e-5	6.863126247413821e-5
HOXB2	2.2939687203659942e-5	2.2939687203659942e-5	2.2939687203659942e-5	2.2939687203659942e-5	5.104690776810959e-5	5.104690776810959e-5	5.104690776810959e-5	5.104690776810959e-5	3.0887801961152614e-5	3.0887801961152614e-5	3.0887801961152614e-5	3.0887801961152614e-5	4.3088658351882455e-5	4.3088658351882455e-5	4.3088658351882455e-5	4.3088658351882455e-5
HOXB3	1.5381524015680776e-5	1.5381524015680776e-5	1.5381524015680776e-5	1.5381524015680776e-5	3.752502180098134e-5	3.752502180098134e-5	3.752502180098134e-5	3.752502180098134e-5	1.3233334118009607e-5	1.3233334118009607e-5	1.3233334118009607e-5	1.3233334118009607e-5	1.0113268741230807e-5	1.0113268741230807e-5	1.0113268741230807e-5	1.0113268741230807e-5
HOXB4	2.1968720871373665e-4	2.1968720871373665e-4	2.1968720871373665e-4	2.1968720871373665e-4	5.9951203570809545e-5	5.9951203570809545e-5	5.9951203570809545e-5	5.9951203570809545e-5	2.0567974508543842e-5	2.0567974508543842e-5	2.0567974508543842e-5	2.0567974508543842e-5	3.101041331445755e-5	3.101041331445755e-5	3.101041331445755e-5	3.101041331445755e-5
HOXB5	2.9035483398155562e-5	2.9035483398155562e-5	2.9035483398155562e-5	2.9035483398155562e-5	6.0733431825782315e-5	6.0733431825782315e-5	6.0733431825782315e-5	6.0733431825782315e-5	2.5111611749699136e-5	2.5111611749699136e-5	2.5111611749699136e-5	2.5111611749699136e-5	3.86043650817548e-5	3.86043650817548e-5	3.86043650817548e-5	3.86043650817548e-5
HOXB6	2.403341557591987e-5	2.403341557591987e-5	2.403341557591987e-5	2.403341557591987e-5	4.553204596009845e-5	4.553204596009845e-5	4.553204596009845e-5	4.553204596009845e-5	1.6265849206965213e-5	1.6265849206965213e-5	1.6265849206965213e-5	1.6265849206965213e-5	2.2303030840805634e-5	2.2303030840805634e-5	2.2303030840805634e-5	2.2303030840805634e-5
HOXB7	7.312450612480251e-5	7.312450612480251e-5	7.312450612480251e-5	7.312450612480251e-5	9.109693896370676e-5	9.109693896370676e-5	9.109693896370676e-5	9.109693896370676e-5	1.0242863743687073e-4	1.0242863743687073e-4	1.0242863743687073e-4	1.0242863743687073e-4	8.144682213573315e-5	8.144682213573315e-5	8.144682213573315e-5	8.144682213573315e-5
HOXB8	3.114390353506919e-5	3.114390353506919e-5	3.114390353506919e-5	3.114390353506919e-5	4.97889076985888e-5	4.97889076985888e-5	4.97889076985888e-5	4.97889076985888e-5	1.9506535103263815e-5	1.9506535103263815e-5	1.9506535103263815e-5	1.9506535103263815e-5	2.9635595465744198e-5	2.9635595465744198e-5	2.9635595465744198e-5	2.9635595465744198e-5
HOXB9	2.6690617400271997e-5	2.6690617400271997e-5	2.6690617400271997e-5	2.6690617400271997e-5	4.499839656251346e-5	4.499839656251346e-5	4.499839656251346e-5	4.499839656251346e-5	2.78314030885688e-5	2.78314030885688e-5	2.78314030885688e-5	2.78314030885688e-5	3.66600566077405e-5	3.66600566077405e-5	3.66600566077405e-5	3.66600566077405e-5
HOXC10	5.525924029359917e-5	5.525924029359917e-5	5.525924029359917e-5	5.525924029359917e-5	5.5050518423578165e-5	5.5050518423578165e-5	5.5050518423578165e-5	5.5050518423578165e-5	3.3046742856201874e-5	3.3046742856201874e-5	3.3046742856201874e-5	3.3046742856201874e-5	6.0972554319573646e-5	6.0972554319573646e-5	6.0972554319573646e-5	6.0972554319573646e-5
HOXC11	3.388081626447935e-5	3.388081626447935e-5	3.388081626447935e-5	3.388081626447935e-5	5.155866376846567e-5	5.155866376846567e-5	5.155866376846567e-5	5.155866376846567e-5	3.0769749230693826e-5	3.0769749230693826e-5	3.0769749230693826e-5	3.0769749230693826e-5	4.6076142651347424e-5	4.6076142651347424e-5	4.6076142651347424e-5	4.6076142651347424e-5
HOXC12	3.460063905054229e-5	3.460063905054229e-5	3.460063905054229e-5	3.460063905054229e-5	5.165802104862831e-5	5.165802104862831e-5	5.165802104862831e-5	5.165802104862831e-5	2.965651195790073e-5	2.965651195790073e-5	2.965651195790073e-5	2.965651195790073e-5	4.8301840208219186e-5	4.8301840208219186e-5	4.8301840208219186e-5	4.8301840208219186e-5
HOXC13	4.08896459247257e-5	4.08896459247257e-5	4.08896459247257e-5	4.08896459247257e-5	6.510755383100964e-5	6.510755383100964e-5	6.510755383100964e-5	6.510755383100964e-5	3.505273674039561e-5	3.505273674039561e-5	3.505273674039561e-5	3.505273674039561e-5	5.015402832039696e-5	5.015402832039696e-5	5.015402832039696e-5	5.015402832039696e-5
HOXC4	2.6439242111915232e-5	2.6439242111915232e-5	2.6439242111915232e-5	2.6439242111915232e-5	6.206117453262251e-5	6.206117453262251e-5	6.206117453262251e-5	6.206117453262251e-5	2.0435227313574688e-5	2.0435227313574688e-5	2.0435227313574688e-5	2.0435227313574688e-5	4.210151382479082e-5	4.210151382479082e-5	4.210151382479082e-5	4.210151382479082e-5
HOXC5	2.542246273725675e-5	2.542246273725675e-5	2.542246273725675e-5	2.542246273725675e-5	4.241828276353463e-5	4.241828276353463e-5	4.241828276353463e-5	4.241828276353463e-5	1.623000138014176e-5	1.623000138014176e-5	1.623000138014176e-5	1.623000138014176e-5	2.410752370655208e-5	2.410752370655208e-5	2.410752370655208e-5	2.410752370655208e-5
HOXC6	1.9572099034641133e-5	1.9572099034641133e-5	1.9572099034641133e-5	1.9572099034641133e-5	3.9848153007493105e-5	3.9848153007493105e-5	3.9848153007493105e-5	3.9848153007493105e-5	1.5110837988317991e-5	1.5110837988317991e-5	1.5110837988317991e-5	1.5110837988317991e-5	1.9298206752661247e-5	1.9298206752661247e-5	1.9298206752661247e-5	1.9298206752661247e-5
HOXC8	3.15406231553042e-5	3.15406231553042e-5	3.15406231553042e-5	3.15406231553042e-5	5.186626160282987e-5	5.186626160282987e-5	5.186626160282987e-5	5.186626160282987e-5	2.8892626131922223e-5	2.8892626131922223e-5	2.8892626131922223e-5	2.8892626131922223e-5	2.832381692015489e-5	2.832381692015489e-5	2.832381692015489e-5	2.832381692015489e-5
HOXC9	3.585364994819935e-5	3.585364994819935e-5	3.585364994819935e-5	3.585364994819935e-5	5.5325434908414244e-5	5.5325434908414244e-5	5.5325434908414244e-5	5.5325434908414244e-5	3.253892468365792e-5	3.253892468365792e-5	3.253892468365792e-5	3.253892468365792e-5	5.1042892773550254e-5	5.1042892773550254e-5	5.1042892773550254e-5	5.1042892773550254e-5
HOXD1	1.9316902315856726e-5	1.9316902315856726e-5	1.9316902315856726e-5	1.9316902315856726e-5	3.7452670582392735e-5	3.7452670582392735e-5	3.7452670582392735e-5	3.7452670582392735e-5	1.617775022207733e-5	1.617775022207733e-5	1.617775022207733e-5	1.617775022207733e-5	1.0275680191588989e-5	1.0275680191588989e-5	1.0275680191588989e-5	1.0275680191588989e-5
HOXD10	6.429537806734503e-5	6.429537806734503e-5	6.429537806734503e-5	6.429537806734503e-5	6.22626653062942e-5	6.22626653062942e-5	6.22626653062942e-5	6.22626653062942e-5	4.3578672794377036e-5	4.3578672794377036e-5	4.3578672794377036e-5	4.3578672794377036e-5	1.3827825490782914e-4	1.3827825490782914e-4	1.3827825490782914e-4	1.3827825490782914e-4
HOXD11	3.1264505761089724e-5	3.1264505761089724e-5	3.1264505761089724e-5	3.1264505761089724e-5	4.6340797833035484e-5	4.6340797833035484e-5	4.6340797833035484e-5	4.6340797833035484e-5	2.0408045885101442e-5	2.0408045885101442e-5	2.0408045885101442e-5	2.0408045885101442e-5	3.490045882831806e-5	3.490045882831806e-5	3.490045882831806e-5	3.490045882831806e-5
HOXD12	4.025482846788285e-5	4.025482846788285e-5	4.025482846788285e-5	4.025482846788285e-5	5.354720741261338e-5	5.354720741261338e-5	5.354720741261338e-5	5.354720741261338e-5	2.6006675363478874e-5	2.6006675363478874e-5	2.6006675363478874e-5	2.6006675363478874e-5	2.6604741868182237e-5	2.6604741868182237e-5	2.6604741868182237e-5	2.6604741868182237e-5
HOXD13	9.521734297570684e-5	9.521734297570684e-5	9.521734297570684e-5	9.521734297570684e-5	9.822750073540692e-5	9.822750073540692e-5	9.822750073540692e-5	9.822750073540692e-5	6.211598513091103e-5	6.211598513091103e-5	6.211598513091103e-5	6.211598513091103e-5	1.7107162589149671e-4	1.7107162589149671e-4	1.7107162589149671e-4	1.7107162589149671e-4
HOXD3	2.0227560118890967e-5	2.0227560118890967e-5	2.0227560118890967e-5	2.0227560118890967e-5	5.632342514150182e-5	5.632342514150182e-5	5.632342514150182e-5	5.632342514150182e-5	1.561652733637223e-5	1.561652733637223e-5	1.561652733637223e-5	1.561652733637223e-5	2.3489579099312508e-5	2.3489579099312508e-5	2.3489579099312508e-5	2.3489579099312508e-5
HOXD4	2.443067433207213e-5	2.443067433207213e-5	2.443067433207213e-5	2.443067433207213e-5	5.9139523776082637e-5	5.9139523776082637e-5	5.9139523776082637e-5	5.9139523776082637e-5	2.4616273910760074e-5	2.4616273910760074e-5	2.4616273910760074e-5	2.4616273910760074e-5	3.49824770829261e-5	3.49824770829261e-5	3.49824770829261e-5	3.49824770829261e-5
HOXD8	3.3160981049853755e-5	3.3160981049853755e-5	3.3160981049853755e-5	3.3160981049853755e-5	4.8772093267078834e-5	4.8772093267078834e-5	4.8772093267078834e-5	4.8772093267078834e-5	2.154860468214768e-5	2.154860468214768e-5	2.154860468214768e-5	2.154860468214768e-5	3.255664432531273e-5	3.255664432531273e-5	3.255664432531273e-5	3.255664432531273e-5
HOXD9	3.977365489347472e-5	3.977365489347472e-5	3.977365489347472e-5	3.977365489347472e-5	5.721045540526099e-5	5.721045540526099e-5	5.721045540526099e-5	5.721045540526099e-5	3.6917632528766885e-5	3.6917632528766885e-5	3.6917632528766885e-5	3.6917632528766885e-5	5.8226887035389566e-5	5.8226887035389566e-5	5.8226887035389566e-5	5.8226887035389566e-5
HSF1	1.011858677270886e-3	1.011858677270886e-3	1.011858677270886e-3	1.011858677270886e-3	9.32631136465852e-4	9.32631136465852e-4	9.32631136465852e-4	9.32631136465852e-4	6.70033067815637e-4	6.70033067815637e-4	6.70033067815637e-4	6.70033067815637e-4	1.4760998867214196e-3	1.4760998867214196e-3	1.4760998867214196e-3	1.4760998867214196e-3
HSF2	6.022166961042805e-4	6.022166961042805e-4	6.022166961042805e-4	6.022166961042805e-4	7.864356613103592e-4	7.864356613103592e-4	7.864356613103592e-4	7.864356613103592e-4	1.5358867953441156e-4	1.5358867953441156e-4	1.5358867953441156e-4	1.5358867953441156e-4	4.194464165653049e-4	4.194464165653049e-4	4.194464165653049e-4	4.194464165653049e-4
HSF4	2.1283559718695464e-5	2.1283559718695464e-5	2.1283559718695464e-5	2.1283559718695464e-5	5.739647855013215e-5	5.739647855013215e-5	5.739647855013215e-5	5.739647855013215e-5	2.5390919786577773e-5	2.5390919786577773e-5	2.5390919786577773e-5	2.5390919786577773e-5	1.563299567264786e-5	1.563299567264786e-5	1.563299567264786e-5	1.563299567264786e-5
HSF5	1.4737351467214065e-5	1.4737351467214065e-5	1.4737351467214065e-5	1.4737351467214065e-5	6.983371079921249e-5	6.983371079921249e-5	6.983371079921249e-5	6.983371079921249e-5	4.919162829006093e-5	4.919162829006093e-5	4.919162829006093e-5	4.919162829006093e-5	2.125592202390411e-5	2.125592202390411e-5	2.125592202390411e-5	2.125592202390411e-5
HSFX1	1.6352175070032078e-5	1.6352175070032078e-5	1.6352175070032078e-5	1.6352175070032078e-5	4.060449256322336e-5	4.060449256322336e-5	4.060449256322336e-5	4.060449256322336e-5	1.695490497024196e-5	1.695490497024196e-5	1.695490497024196e-5	1.695490497024196e-5	1.1376859509792887e-5	1.1376859509792887e-5	1.1376859509792887e-5	1.1376859509792887e-5
HSFX2	1.6352175070032078e-5	1.6352175070032078e-5	1.6352175070032078e-5	1.6352175070032078e-5	4.060449256322336e-5	4.060449256322336e-5	4.060449256322336e-5	4.060449256322336e-5	1.695490497024196e-5	1.695490497024196e-5	1.695490497024196e-5	1.695490497024196e-5	1.1376859509792887e-5	1.1376859509792887e-5	1.1376859509792887e-5	1.1376859509792887e-5
HSFY1	2.271772679982615e-5	2.271772679982615e-5	2.271772679982615e-5	2.271772679982615e-5	5.243426770247255e-5	5.243426770247255e-5	5.243426770247255e-5	5.243426770247255e-5	1.6390968418579917e-5	1.6390968418579917e-5	1.6390968418579917e-5	1.6390968418579917e-5	1.8979883552449784e-5	1.8979883552449784e-5	1.8979883552449784e-5	1.8979883552449784e-5
HSFY2	1.717150222824003e-5	1.717150222824003e-5	1.717150222824003e-5	1.717150222824003e-5	2.1153065481473317e-4	2.1153065481473317e-4	2.1153065481473317e-4	2.1153065481473317e-4	3.726658914293415e-5	3.726658914293415e-5	3.726658914293415e-5	3.726658914293415e-5	3.0396260820948696e-5	3.0396260820948696e-5	3.0396260820948696e-5	3.0396260820948696e-5
IKZF1	3.844730857822049e-3	3.844730857822049e-3	3.844730857822049e-3	3.844730857822049e-3	1.5951501245188857e-3	1.5951501245188857e-3	1.5951501245188857e-3	1.5951501245188857e-3	2.2505621444122654e-3	2.2505621444122654e-3	2.2505621444122654e-3	2.2505621444122654e-3	2.893667207797608e-3	2.893667207797608e-3	2.893667207797608e-3	2.893667207797608e-3
IKZF2	1.232719808727998e-4	1.232719808727998e-4	1.232719808727998e-4	1.232719808727998e-4	5.3147234358994625e-5	5.3147234358994625e-5	5.3147234358994625e-5	5.3147234358994625e-5	3.336023869128955e-4	3.336023869128955e-4	3.336023869128955e-4	3.336023869128955e-4	3.370608975768423e-4	3.370608975768423e-4	3.370608975768423e-4	3.370608975768423e-4
IKZF3	1.043697410491236e-3	1.043697410491236e-3	1.043697410491236e-3	1.043697410491236e-3	1.4218127948566112e-3	1.4218127948566112e-3	1.4218127948566112e-3	1.4218127948566112e-3	1.376074205049507e-3	1.376074205049507e-3	1.376074205049507e-3	1.376074205049507e-3	1.5775680923269077e-3	1.5775680923269077e-3	1.5775680923269077e-3	1.5775680923269077e-3
IKZF4	6.434419157415337e-5	6.434419157415337e-5	6.434419157415337e-5	6.434419157415337e-5	3.478841725571769e-5	3.478841725571769e-5	3.478841725571769e-5	3.478841725571769e-5	7.223759998091443e-5	7.223759998091443e-5	7.223759998091443e-5	7.223759998091443e-5	5.0379592967826675e-5	5.0379592967826675e-5	5.0379592967826675e-5	5.0379592967826675e-5
