Prot_1,Prot_2
RSAD1,BSG
CHD3,ARID4B
CHD3,CBX3
CHD3,CASP8
CHD5,ARID4B
CHD4,CBX3
TTC8,BBS1
TTC8,BBS2
DAG1,AGR2
STC2,CCNJL
ABCG8,LMNB1
ABCG8,ABCG5
ABCG8,NUPR1
ABCG8,MAL2
ABCG8,NR4A1
ABCG8,AKT2
ABCG8,ANG
ABCG8,AGPAT2
ABCG8,MESD
MCPH1,BIRC6
KDM1A,ARHGAP15
BTG1,NCK2
BTG1,CDKN2D
BTG1,TUBA1A
BTG1,PRMT1
BTG1,RNF181
BTG1,CNOT8
BTG1,GRB2
BTG1,FADD
BTG1,CNOT7
BTG1,XRCC6
GGA1,ATXN7L1
GGA1,CCDC91
GGA2,CA8
PRKACG,AKAP14
PRKACA,AKAP14
PRKACA,AKAP13
PRKACA,AKAP11
PRKACB,AKAP11
PRKACB,AKAP14
PSMB4,BCL6
PSMB2,AMFR
PSMB1,AGR2
TRIML2,CDR2
SH3KBP1,CD2
BEX5,ELAVL4
BEX5,FARS2
BEX5,SPRED1
BEX5,GTF3C3
BEX5,MAGEA8
BEX5,CRK
BEX5,GSN
BEX5,NDUFAB1
BEX5,PACRGL
BEX5,GNG13
BEX5,NF2
BEX5,ING3
BEX5,MORF4L2
BEX5,MORF4L1
BEX5,GOLGA8F|GOLGA8G
BEX5,BFSP2
BEX5,LSM1
BEX5,FOXD4L3
BEX5,COPS7B
BEX5,FGFR3
BEX5,TARDBP
BEX5,EMILIN1
BEX5,FKBP1A
BEX5,DMWD
BEX3,BFSP2
BEX2,BRMS1
BEX2,CDR2
CLDN19,CD200R1
DBN1,BMP2K
DBN1,ACTN1
CDC73,ANXA6
GTF2F1,C1QTNF2
CAGE1,BFSP2
HSP90B1,CLU
CETN3,AGR2
H3F3B,CBX3
H3F3B,ASF1B
KLHL38,AGR2
SLC18A1,ANKRD46
RALBP1,BIRC6
RAP1B,CHGB
LRIF1,BRMS1
LRIF1,CBX3
LRIF1,ARL3
ZNF410,AGR2
IVD,ACTN3
SUGCT,AGR2
MAP3K20,CCDC69
ITCH,CDC34
ITCH,CFLAR
CHMP4B,AKAP11
CHMP4B,CIR1
CHMP4B,ACTN3
CHMP4B,ACTN1
CHMP4C,BSG
CHMP4C,CBX3
CHMP4C,CLU
CHMP4C,ACTN3
CHMP4C,ACTN1
BAX,BCL2L12
BAX,CLU
BAX,BCL2
BAD,BCL2
COBLL1,IFFO1
COBLL1,AMOTL1
COBLL1,ITGB3BP
COBLL1,CDADC1
COBLL1,PPP4R3A
COBLL1,DLG3
COBLL1,DDHD1
COBLL1,DVL2
COBLL1,PACSIN1
COBLL1,PACSIN3
COBLL1,PACSIN2
COBLL1,CEP43
COBLL1,KIAA1107
COBLL1,UHRF1BP1L
COBLL1,FAM117A
COBLL1,TMBIM6
COBLL1,SCML1
COBLL1,TLK2
COBLL1,AK1
COBLL1,HMBOX1
COBLL1,SORT1
COBLL1,HSP90AA1
CDK18,CDR2
CDK19,CLU
GFI1B,ACTN1
BFSP2,ANKRD33
BFSP2,WASHC3
BFSP2,AMOTL2
BFSP2,POU6F2
BFSP2,KRT31
BFSP2,TRIB3
BFSP2,COPS6
BFSP2,KIF14
BFSP2,USHBP1
BFSP2,SYCE1L
BFSP2,CCDC183
BFSP2,HAUS1
BFSP2,MYOG
BFSP2,MAGEA6
BFSP2,DMAP1
BFSP2,SYCE1
BFSP2,SERTAD3
BFSP2,BLOC1S2
BFSP2,MBIP
BFSP2,CALCOCO1
BFSP2,ZNF620
BFSP2,C3ORF62
BFSP2,MCCD1
BFSP2,ZNF343
BFSP2,DISC1
BFSP2,CDCA4
BFSP2,SAPCD2
BFSP2,PSMC5
BFSP2,KRT27
BFSP2,SNAPIN
BFSP2,CEP63
BFSP2,CEP44
BFSP2,HGS
BFSP2,KRT24
BFSP2,BFSP1
BFSP2,CCDC153
BFSP2,RINT1
BFSP2,KRT37
BFSP2,SNAPC5
BFSP2,SUFU
BFSP2,SCOC
BFSP2,RNASE10
BFSP2,BICRAL
BFSP2,ABI3
BFSP2,USP54
BFSP2,KRT14
BFSP2,PPP1R13B
