Prot,Label
AKT1,0
PIK3CA,2
FOXO1,2
NOTCH1,2
ITCH,0
CXCR4,2
IL6R,2
IL6,2
ICOS,2
ICOSLG,2
IL21,2
IL21R,2
BCL6,0
IRF4,0
NFKB1,0
IL2,2
IL2RA,2
BATF,2
IFNG,2
IFNGR2,2
IFNGR1,2
STAT5B,0
STAT5A,2
PPARG,0
STAT1,2
STAT3,0
