Prot_1,Prot_2
MR1,ERMP1
CNPY3,SELENON
HMG20A,PTH2R
HMG20A,THAP11
HMG20A,PAWR
HMG20A,MBD2
ZFP82,TRIM33
MARCHF6,SQLE
RFX5,RFXANK
RFX5,ECT2
RFX5,GIGYF2
RFX5,CDC73
RFX5,CIITA
RFX5,KIF23
RFX5,APEX1
RFX5,H3C1|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H3C10|H3C11|H3C12
RFX5,COL1A2
RFX5,ANKRA2
RFX5,RFXAP
RFX1,FOXJ2
RFX2,FOXJ2
RFX3,FOXJ2
RFX3,CREB1
RFX3,MBD2
IBA57,JUN
ABCE1,JUN
UQCRC2,JUN
RETSAT,TREML2
KHDRBS1,JUN
H2AC20,ELK4
TARS1,JUN
TARS3,JUN
TARS3,ATF4
DPYSL2,LEF1
BOP1,KLF10
IGFBP5,CLDN20
SKP2,FOXO3
SKP2,FOXO1
GJA8,ERMP1
ZNF114,CUEDC1
ZNF114,SUFU
KDM3A,HIF1A
NIF3L1,STAT3
NOP9,JUN
NOP9,CDYL
NOP9,LCOR
APIP,NDE1
EIF2B4,JUN
EIF2B4,FOS
EIF2B4,UBE2F
EIF2B5,JUN
EIF2B3,JUN
EIF2B1,JUN
PRKAR2A,JUN
PRKAR2B,DYNC1I2
MAGT1,JUN
TXNIP,HDAC1
TXNIP,TXN
TXNIP,SMURF2
TXNIP,TP53
TXNIP,NLRP3
TXNIP,ITCH
TXNIP,WWP1
TXNIP,IL12RB1
TXNIP,PTPN11
TXNIP,VAV2
TXNIP,FHL1
TXNIP,UBC
TXNIP,GATAD2B
TXNIP,MTA1
TXNIP,RGMA
MLF1,GRK6
QPRT,SATB1
QPRT,SUFU
MLF2,GRK6
TMEM14B,SQLE
TMEM14B,NCALD
TMEM14B,CNIH3
TMEM14B,NINJ1
FANCF,FANCE
FANCF,FAAP20
MECOM,FOXJ2
CLIC4,REL
ITGA3,ELK4
LARP4B,JUN
KRTAP2-3,YY1
TMEM147,SHISA3
TMEM147,PDCD1LG2
FOXL1,IRF9
FOXL1,YY1
FOXL1,SATB1
FOXL1,NFXL1
FOXL1,NR3C1
SF1,JUN
SF1,SAMHD1
HLA-DPA1,TNFSF9
HLA-DPA1,SREBF2
H0YAA0,JUN
CT55,FAAP20
CT55,EXOC7
ZMAT3,SAMHD1
ZMAT2,IKZF1
MYBL2,BCL11A
MYBL2,ARID4B
MYBL2,RBL1
MYBL2,MBD2
MYBL2,MTA3
PLPBP,SATB1
PHLDA2,ELK1
CDC5L,JUN
CDC5L,EXOC7
NEMP1,CNIH3
RAC1,SLC39A10
RAC1,NOS2
RAC1,JUN
VCL,PRMT3
VCP,JUN
AP2A1,JUN
AP2A2,PRKCZ
PBX4,GTF2B
PBX4,BCL6
FIGNL1,JUN
FIGNL1,THAP11
PBX2,MAB21L2
PBX2,CREB1
PBX3,MICOS13
PBX3,HSD17B13
PBX3,RNF186
PBX3,DESI2
PBX3,MBLAC2
PBX3,TRAF1
PBX3,KRT31
PBX3,MTERF3
PBX3,TMCO2
PBX3,COQ8A
PBX3,FOXE1
PBX3,MEIS2
PBX3,JPH3
PBX3,ITGB3BP
PBX3,MAGEC2
PBX3,MAB21L2
PBX3,SMPD2
PBX3,MAGEA1
PBX3,CAV3
PBX3,GAD2
PBX3,FKBP7
PBX3,MDK
PBX3,BIK
PBX3,RPRM
PBX3,RABAC1
PBX3,TPM3
PBX3,MAB21L1
PBX3,HIGD1C
PBX3,PLIN3
PBX3,AGTRAP
PBX3,REEP5
PBX3,SIN3A
PBX3,ZNHIT3
PBX3,NUDT9
PBX3,ARFIP2
PBX3,SCAMP1
PBX3,GBP7
PBX3,MAL2
PBX3,KRT27
PBX3,ARL6IP1
PBX3,LMX1B
PBX3,CPLX2
PBX3,FAM177A1
PBX3,PTPN9
PBX3,DGAT2L6
PBX3,TVP23B
PBX3,TPD52L1
PBX3,TRIM44
PBX3,PRB3
PBX3,CIDEB
PBX3,FADS6
PBX3,SYPL1
PBX3,RHEX
PBX3,BSND
PBX3,FSD2
PBX3,LIME1
PBX3,SFT2D2
PBX3,INPP5K
PBX3,TFIP11
PBX3,SYP
PBX3,RHBDD2
PBX3,TMEM196
PBX3,ZNF655
PBX3,INSYN1
PBX3,CMTM4
PBX3,CMTM5
PBX1,MAB21L2
NSUN2,JUN
NSUN5,JUN
TUBG1,GTF2I
PTCH1,CD200R1
PTCH1,ATF6B
TIMM44,GTF2B
TUFM,JUN
KMT5C,JUN
ERGIC3,CNIH3
CDR2L,REL
CDR2L,ZSCAN22
SRSF11,THAP11
SRSF11,JUN
SRSF11,ETS1
UXT,DYNLT1
CALM3,RELA
CALM3,REL
CALM3,DAPK1
CALM3,NOS2
SPG21,COG3
SPG21,TCF12
SPG21,REL
SPG21,SATB1
SPG21,IKZF3
GSDMD,ZBTB33
E9KL35,HIF1A
E9KL35,STAT1
DLGAP5,JUN
MBNL1,ZNF143
PLK3,HIF1A
PLK3,POU2F1
CDX2,RELA
OIP5,THAP11
OIP5,JUN
OIP5,CUEDC1
BRD4,JUN
BRD4,DNMT1
BRD4,RELA
BRD4,C2CD5
BRD4,FOXK1
BRD4,STAT3
BRD4,HMGA1
BRD1,ZNF281
BRD1,MAZ
BRD1,CTCF
BRD1,FOXP1
BRD1,ZBTB33
BRD1,ZNF148
BRD1,YY1
BRD1,ZNF460
BRD1,TCF12
BRD2,C2CD5
BRD2,JUN
BRD2,RSBN1L
BRD2,STAT3
BRD2,CTCF
BRD2,YY1
BRD2,LCOR
BRD2,MTA3
BRD3,JUN
BRD3,C2CD5
BRD3,RSBN1L
DNAJA2,DYNLT1
DNAJA2,PRKCZ
DNAJA2,ELK1
DNAJA3,JUN
DNAJA3,FOSL2
DNAJA3,RELA
DNAJA1,RELA
DNAJA1,ELK1
DNAJA1,PRKCZ
AKT1,UBA52
AKT1,YBX1
AKT1,HIF1A
AKT1,MAPKAPK2
AKT1,MXD1
AKT1,FOXO1
AKT1,FOXO3
AKT1,SOX4
AKT1,MTA3
AKT1,PRKCZ
PTPN11,LRPPRC
PTPN11,CRKL
PTPN11,CD33
PTPN11,IL6ST
PTPN11,CAV1
PTPN11,PECAM1
PTPN11,AHCYL1
PTPN11,GHR
PTPN11,CDC73
PTPN11,PIK3CA
PTPN11,ERBB2
PTPN11,ERBB3
PTPN11,IGF1R
PTPN11,IQCB1
PTPN11,CYP1A1
PTPN11,SOCS1
PTPN11,INPP5D
PTPN11,FN1
PTPN11,SOCS3
PTPN11,KIT
PTPN11,GRB2
PTPN11,CSF2RB
PTPN11,DDI1
PTPN11,TRIM32
PTPN11,GAB2
PTPN11,FRS2
PTPN11,GMNN
PTPN11,LAIR1
PTPN11,CRK
PTPN11,STIP1
PTPN11,CCT8
PTPN11,USP47
PTPN11,CCT7
PTPN11,CCT4
PTPN11,CCT5
PTPN11,OVCA2
PTPN11,JAK2
PTPN11,PIK3R2
PTPN11,PIK3R1
PTPN11,JAK1
PTPN11,LNX1
PTPN11,EPOR
PTPN11,TLK1
PTPN11,DDR1
PTPN11,CBL
PTPN11,PSMD12
PTPN11,PSMB1
PTPN11,PDGFRB
PTPN11,PDGFRA
PTPN11,THEMIS
PTPN11,NEB
PTPN11,TEK
PTPN11,STAT3
PTPN11,STAT1
PTPN11,MPZL1
PTPN11,BTLA
PTPN11,PSMA6
PTPN11,PSMA4
PTPN11,KDR
PTPN11,PDCD1
PTPN11,SRC
PTPN11,LEPR
PTPN11,LGALS9
PTPN11,VCAM1
PTPN11,LGALS3
PTPN11,GAB1
PTPN11,STAU1
PTPN11,SOS1
PTPN11,IRS1
PTPN11,MET
PTPN11,STAT5A
PTPN11,PSMB4
PTPN11,SLAMF1
PTPN11,PTK2
PTPN11,EGFR
PTPN11,CD244
PTPN11,INSR
PTPN11,ERBB4
PTPN11,FYN
PTPN11,RPIA
PTPN11,VIRMA
PTPN11,PSMC3
PTPN11,PSMC6
PTPN11,CCT6B
PTPN11,FCGR2A
PTPN11,AR
PTPN11,TCEAL1
PTPN11,DCAF7
PTPN11,FSD1
MYCBP,ELK4
MAGEL2,SUFU
LYAR,MAPKAPK2
LYAR,JUN
LYAR,YY1
MRPL27,ZNF22
MRPL20,ZNF22
MRPL22,BCL11A
MRPL22,JUN
MRPL22,MTA3
MRPL22,MBD2
MRPL28,IKZF3
HABP4,YBX1
ZSCAN9,ZSCAN22
ZSCAN1,MZF1
ZSCAN1,GTF2B
ZSCAN1,ZSCAN22
ZSCAN1,NFYC
SRSF5,JUN
SRSF4,JUN
SRSF7,JUN
SRSF7,ELK4
SRSF6,JUN
SRSF1,JUN
SRSF1,SATB1
CHD1L,FOXP1
CHD1L,NR4A1
SRSF3,JUN
SRSF2,JUN
SRSF9,JUN
SRSF9,YBX1
RNF138,FXN
RNF138,LEF1
HOXA2,NDE1
CLNS1A,ELK4
TSHZ2,COG3
TSHZ1,FOXJ2
FOXS1,SATB1
FOXS1,POU2F1
FOXS1,RRAS2
FOXS1,POU2F2
ZNF581,IKZF1
ZNF580,IKZF1
ZNF587,IKZF1
ZNF587,IKZF3
CHST8,SELENON
LPAR6,EXOC2
LPAR6,TTI1
LSM12,JUN
MYDGF,NCALD
MYO1F,IRF9
MYO1D,ACTC1
MYO1D,VSIG4
MYO1D,BIRC3
MYO1D,ILK
MYO1D,PEX19
MYO1D,RIPK3
MYO1D,RIPK2
MYO1D,IKBKG
MYO1D,UBASH3B
MYO1D,LRRK2
MYO1D,MAP3K3
MYO1D,PPP4C
MYO1D,MAP3K1
MYO1D,PELO
MYO1D,VIRMA
MYO1D,CUL1
MYO1D,DAPK1
MYO1D,SHC1
MYO1D,TSC22D1
MYO1D,CIAO1
MYO1D,CHUK
MYO1D,SH3BGRL
MYO1D,RASA1
MYO1D,STAU1
MYO1D,ESR2
MYO1D,PRKD1
MYO1D,TBC1D9B
MYO1D,UBB
MYO1D,UBC
MYO1D,CFTR
MYO1D,KIF20A
MYO1C,ELK4
MYO1C,JUN
MYO1C,TJP2
MYO1B,DAPK1
CHMP3,STAMBP
RPL36AL,ZNF22
CHMP5,STAMBP
PGBD1,NR4A1
PGBD1,ZSCAN22
SIAE,SELENON
HOXA10,NFATC1
KRTAP19-1,BCL6
KRTAP19-6,TSPYL6
KRTAP19-7,EVX2
KRTAP19-5,EVX2
KRTAP19-5,VEZF1
KRTAP19-5,TSPYL6
KRTAP19-5,FOS
SRC,PAG1
SRC,HIF1A
SRC,STAT3
SRC,SELENON
SRC,STAT1
SRC,NR3C2
NEMF,JUN
ZNF326,JUN
SRF,ELK1
SRF,ELK4
TSSK3,REL
TSSK3,IKZF3
TSSK3,CENPN
FAM214B,IKZF1
SRI,STAT3
SRI,TCF12
LGALS9,C2CD5
LGALS1,ICAM2
LGALS4,RRAS2
EIF2AK3,FOXK1
KRTAP11-1,NBL1
TDG,JUNB
TDG,IKZF1
TDG,STAT3
MYO19,ZBTB20
MYO19,TJP2
ASAP3,REL
ATG101,FOXO3
PLAUR,CDYL
LRRC25,CD72
LRRC25,ACD
LRRC25,CLDN19
LRRC25,TTMP
LRRC25,PKMYT1
LRRC25,TMEM120A
LRRC25,SPNS3
LRRC25,ANKRD46
LRRC25,LHFPL5
LRRC25,GPRC5D
LRRC25,PNLIPRP1
LRRC25,DDX58
LRRC25,CLN6
LRRC25,BMP10
LRRC25,FAM3C
LRRC25,TMEM201
LRRC25,FATE1
LRRC25,CLEC1A
LRRC25,TRAF3IP3
LRRC25,APOL3
LRRC25,ATP6V0C
LRRC25,BRICD5
LRRC25,SMCO4
LRRC25,FPR2
LRRC25,DNAJC30
LRRC25,CNIH3
LRRC25,OPRM1
LRRC25,TNF
LRRC25,TSPAN4
LRRC25,SEC61G
LRRC25,SEC22A
LRRC25,VAMP5
LRRC25,CXCL9
LRRC25,CLRN2
LRRC25,AGPAT4
LRRC25,EDDM3B
LRRC25,MAL
LRRC25,DEFB121
LRRC25,YIPF6
ALOX5,MAPKAPK2
ALOX5,REL
MID1IP1,SUFU
PIGC,KLF10
PIGK,PCNA
PIGK,ALPP
PIGK,PRSS50
PIGK,B3GNT3
PIGK,LYPD3
PIGK,TCTN3
PIGK,ESR1
PIGK,PIGS
PIGK,PIGT
PIGK,PIGU
PIGK,UBC
PIGK,KIF20A
PIGK,GPAA1
PIGR,GTF2B
PIGU,B3GNT3
TMEM80,CNIH3
TMEM80,ERMP1
TAX1BP1,UBA52
TAX1BP1,LDLRAD4
ELAC2,CUX1
SRRM1,ZNF22
PDK3,JUN
EBP,ANKRD46
EBP,NINJ1
LNPEP,REL
ALPI,JUN
PTGS2,JUN
PLVAP,FUT8
CEP128,NFATC3
CEP128,FERMT2
CEP128,PAWR
CEP128,TJP2
CEP128,NDE1
SLC39A10,SPINT2
SLC39A10,CENPO
SLC39A10,TMEM17
SLC39A10,RNASEH2B
SLC39A10,KIF7
SLC39A10,DCLRE1B
SLC39A10,KIF18A
SLC39A10,TMEFF1
SLC39A10,TCTN3
SLC39A10,TMEM216
SLC39A10,UBC
SLC39A10,XRCC1
SLC39A10,WBP1
SLC39A10,TCF20
SLC39A10,MYC
SLC39A11,CD274
SCN2B,COG3
SCN2B,TTI1
SCN2B,THADA
SCN2B,EXOC2
SCN2B,EXOC7
CEP120,STAT3
EIF1AD,STAT1
ARHGAP26,YY1
SAP18,SUFU
DDIT3,BATF
DDIT3,JUNB
DDIT3,FOS
DDIT3,FOSL2
DDIT3,ATF4
DDIT3,ATF3
DDIT4,KLF3
RBFA,MDK
NKRF,JUN
DR1,ZSCAN22
DR1,NFYC
MTURN,REL
MTURN,UBA52
TERF2,JUN
